회사명,거래소코드,회계년도,자기자본구성비율,설비투자효율,총자본투자효율,이자보상배율(이자비용),유동비율,당좌비율,부채비율,총자본정상영업이익률,매출액정상영업이익률,매출액순이익률,자기자본순이익률,매출채권회전률,재고자산회전률,총자본회전률,순운전자본비율,부실
(주)CMG제약,58820,2011,66.05,89.82,19.56,-9.65,200.97,165.03,42.33,2.37,3.61,-8.5,-8.28,1.77,56.81,0.68,9.08,0
(주)CMG제약,58820,2012,55.32,1749.87,1.66,-15.18,693.49,649.98,21.5,-9.96,-25.87,-40.97,-26.84,1.71,63.97,0.39,30.58,0
(주)CMG제약,58820,2013,87.63,71.28,34.29,1.92,694.71,610.74,11.23,1.4,3.88,1.45,0.74,2.03,67.75,0.37,2.53,0
(주)CMG제약,58820,2014,84.39,79.3,31.04,999999999.0,324.58,268.23,17.79,0.78,1.94,0.69,0.32,1.54,76.46,0.41,2.66,0
(주)CMG제약,58820,2015,82.8,144.1,15.96,999999999.0,296.85,235.21,18.91,-4.49,-9.51,-13.5,-7.62,1.48,69.98,0.47,0.01,0
(주)CMG제약,58820,2016,91.1,63.53,31.9,999999999.0,862.15,792.17,9.04,2.07,5.25,5.24,2.34,1.9,65.59,0.4,0.0,0
(주)CMG제약,58820,2017,89.39,64.09,33.01,999999999.0,746.28,673.66,11.11,1.41,3.75,6.83,2.85,2.51,62.82,0.39,0.0,0
(주)CMG제약,58820,2018,90.91,67.33,33.79,999999999.0,957.86,856.94,8.17,2.29,5.15,12.16,6.01,2.98,60.3,0.47,0.0,0
(주)CMG제약,58820,2019,93.71,72.6,32.47,999999999.0,1618.07,1520.84,5.17,1.7,4.44,5.2,2.15,2.83,54.86,0.41,0.15,0
(주)DB하이텍,990,2011,25.69,62.53,39.45,-0.79,35.2,25.5,257.97,-3.34,-7.81,-17.74,-27.74,0.7,51.83,0.5,59.0,1
(주)DB하이텍,990,2012,25.13,55.93,41.58,-0.06,55.66,41.39,190.94,-1.33,-2.64,-5.31,-10.47,0.82,48.31,0.56,58.88,1
(주)ES큐브,50120,2011,70.74,120.2,22.56,999999999.0,230.24,194.35,37.71,-6.58,-6.84,-8.99,-12.61,12.37,36.32,0.99,0.18,0
(주)ES큐브,50120,2012,86.12,86.11,32.14,999999999.0,472.77,371.91,12.05,0.19,0.16,-0.64,0.29,17.59,31.59,1.24,0.33,0
(주)ES큐브,50120,2013,89.89,1052.79,2.45,999999999.0,1056.51,883.95,8.57,-2.49,-1.99,-28.08,-40.47,21.87,34.6,1.27,0.32,0
(주)ES큐브,50120,2014,87.66,82.73,12.98,999999999.0,769.89,668.53,12.1,0.33,0.38,-1.38,1.15,19.86,50.69,0.87,4.74,0
(주)ES큐브,50120,2015,89.27,197.05,6.33,999999999.0,765.67,639.55,10.83,-7.24,-9.63,-5.47,1.56,19.76,55.71,0.79,3.47,0
(주)ES큐브,50120,2016,68.18,16.17,78.38,999999999.0,1493.9,1275.25,4.75,2.69,6.3,62.82,38.07,7.59,75.74,0.61,28.34,0
(주)ES큐브,50120,2017,68.77,55.49,20.96,6.01,1378.49,1153.05,5.08,2.13,6.29,4.86,2.41,3.83,80.64,0.57,27.01,0
(주)ES큐브,50120,2018,62.93,390.13,3.45,-6.86,119.8,95.25,53.16,-1.11,-3.59,-18.13,-5.54,2.52,95.04,0.53,31.99,0
(주)ES큐브,50120,2019,15.96,0.0,-1.28,-3.85,156.01,152.69,310.83,-0.91,-5.99,-31.5,-21.76,2.69,70.5,0.19,14.85,0
(주)HJ중공업,97230,2017,13.72,119.69,7.0,-1.78,56.89,35.58,576.82,-2.47,-4.76,-11.34,-37.73,1.17,103.04,0.59,58.98,1
(주)HJ중공업,97230,2018,-25.91,46.6,23.0,0.91,80.41,56.15,0.0,1.78,3.63,-75.6,0.0,1.4,132.07,0.58,61.15,1
(주)MH에탄올,23150,2011,31.79,50.81,19.52,0.19,58.36,45.92,183.43,0.45,1.35,-9.73,-9.74,0.6,73.2,0.36,8.89,0
(주)MH에탄올,23150,2012,29.53,37.66,25.71,1.23,61.27,36.07,205.72,4.06,9.12,0.48,1.01,0.81,92.53,0.47,56.9,0
(주)MH에탄올,23150,2013,35.38,40.06,20.98,1.22,57.37,40.78,164.02,2.28,4.84,11.3,16.85,0.87,96.98,0.51,57.67,0
(주)MH에탄올,23150,2014,61.72,38.67,23.06,4.79,90.87,68.77,59.9,8.13,17.85,-0.41,-0.38,0.92,72.55,0.52,34.38,0
(주)MH에탄올,23150,2015,73.27,26.64,32.66,17.99,109.55,92.01,35.48,13.48,22.01,15.44,14.06,1.38,38.36,0.76,23.57,0
(주)MH에탄올,23150,2016,87.89,28.32,34.95,36.46,257.95,185.46,12.02,15.69,24.28,16.66,13.41,1.32,34.12,0.78,7.58,0
