회사명,거래소코드,회계년도,EV/EBITDA
(주)코센,9730,2011,0.0
(주)신일건업,14350,2013,0.0
(주)신일건업,14350,2014,0.0
흥구석유(주),24060,2019,77.37
흥구석유(주),24060,2018,25.18
흥구석유(주),24060,2017,40.12
흥구석유(주),24060,2016,41.48
흥구석유(주),24060,2015,56.14
흥구석유(주),24060,2014,17.77
흥구석유(주),24060,2013,163.52
흥구석유(주),24060,2012,26.42
흥구석유(주),24060,2011,9.07
흥구석유(주),24060,2010,15.01
삼성바이오로직스(주),207940,2016,356.7
(주)지성이씨에스,138290,2012,6.5
삼아제약(주),9300,2016,9.72
휴마시스(주),205470,2019,0.0
휴마시스(주),205470,2018,0.0
휴마시스(주),205470,2017,76.08
휴마시스(주),205470,2016,5.36
휴마시스(주),205470,2015,24.6
휴마시스(주),205470,2014,43.35
휴림네트웍스(주),192410,2014,3.94
휴림네트웍스(주),192410,2013,-3.74
휴림네트웍스(주),192410,2012,-0.68
휴림네트웍스(주),192410,2011,16.33
휴림네트웍스(주),192410,2010,26.96
환인제약(주),16580,2018,10.53
환인제약(주),16580,2017,11.71
환인제약(주),16580,2016,10.02
삼아제약(주),9300,2015,9.53
삼아알미늄(주),6110,2015,21.68
(주)카나리아바이오,16790,2013,4.33
삼아알미늄(주),6110,2014,17.29
(주)제넥신,95700,2018,0.0
(주)제넥신,95700,2019,0.0
(주)제넥신,95700,2016,0.0
(주)제넥신,95700,2017,0.0
(주)제넥신,95700,2014,231.54
(주)제넥신,95700,2015,164.66
환인제약(주),16580,2015,11.53
환인제약(주),16580,2014,15.09
환인제약(주),16580,2013,6.87
환인제약(주),16580,2012,5.41
(주)카나리아바이오,16790,2014,4.0
삼아알미늄(주),6110,2012,5.9
삼아알미늄(주),6110,2013,11.43
(주)카나리아바이오,16790,2015,6.5
환인제약(주),16580,2011,3.55
환인제약(주),16580,2010,4.91
화천기계(주),10660,2019,0.0
화천기계(주),10660,2018,21.61
화천기계(주),10660,2017,7.77
화천기계(주),10660,2016,10.78
화천기계(주),10660,2015,7.25
화천기계(주),10660,2014,7.51
화천기계(주),10660,2013,5.27
화천기계(주),10660,2012,3.87
화천기계(주),10660,2011,3.87
화천기계(주),10660,2010,3.76
(주)카나리아바이오,16790,2016,3.58
(주)시디즈,134790,2016,0.0
(주)시디즈,134790,2015,0.0
(주)카나리아바이오,16790,2017,4.16
(주)카나리아바이오,16790,2018,78.45
(주)시디즈,134790,2017,0.0
(주)제이테크놀로지,35480,2010,5.51
(주)카나리아바이오,16790,2019,14.72
(주)정원엔시스,45510,2014,6.63
(주)카나리아바이오,16790,2011,9.89
(주)SNT에너지,100840,2010,18.24
(주)SNT에너지,100840,2011,0.0
(주)SNT에너지,100840,2012,4.35
(주)SNT에너지,100840,2013,3.05
(주)SNT에너지,100840,2014,4.7
(주)SNT에너지,100840,2015,4.95
(주)SNT에너지,100840,2016,22.06
(주)SNT에너지,100840,2017,2.64
(주)SNT에너지,100840,2018,123.89
화일약품(주),61250,2019,11.16
화일약품(주),61250,2018,9.32
화일약품(주),61250,2017,12.09
(주)정원엔시스,45510,2012,13.73
삼아알미늄(주),6110,2010,4.89
(주)정원엔시스,45510,2010,46.81
(주)정원엔시스,45510,2011,23.05
삼아알미늄(주),6110,2011,5.96
(주)카이노스메드,284620,2018,43.53
(주)카카오엠,16170,2010,13.29
화성산업(주),2460,2019,0.01
화성산업(주),2460,2018,0.85
화성산업(주),2460,2017,2.85
화성산업(주),2460,2016,1.97
화성산업(주),2460,2015,3.25
(주)카이노스메드,284620,2019,31.73
(주)시큐브,131090,2011,5.69
(주)시큐브,131090,2010,-0.16
(주)카카오엠,16170,2011,8.61
(주)카카오엠,16170,2012,7.86
(주)시큐브,131090,2012,5.81
(주)카프로,6380,2011,2.83
(주)카프로,6380,2010,5.56
(주)카프로,6380,2013,0.0
(주)카프로,6380,2012,128.1
(주)카프로,6380,2015,0.0
(주)카프로,6380,2014,0.0
(주)카이노스메드,284620,2017,8.62
(주)정다운,208140,2014,14.62
(주)정다운,224090,2013,3.47
(주)정다운,224090,2011,10.29
화성밸브(주),39610,2019,14.53
화성밸브(주),39610,2018,22.23
화성밸브(주),39610,2017,12.94
화성밸브(주),39610,2016,13.51
화성밸브(주),39610,2015,8.39
화성밸브(주),39610,2014,5.38
화성밸브(주),39610,2013,5.48
화성밸브(주),39610,2012,5.43
화성밸브(주),39610,2011,4.2
화성밸브(주),39610,2010,4.03
(주)가온칩스,399720,2018,
(주)가온칩스,399720,2019,
(주)강스템바이오텍,217730,2013,
(주)강스템바이오텍,217730,2014,
(주)강스템바이오텍,217730,2015,0.0
(주)강스템바이오텍,217730,2016,0.0
호전실업(주),111110,2013,0.0
호전실업(주),111110,2012,0.0
호전실업(주),111110,2011,0.0
호전실업(주),111110,2010,9.62
현우산업(주),92300,2017,4.58
현우산업(주),92300,2016,3.93
현우산업(주),92300,2015,4.27
현우산업(주),92300,2014,11.65
현우산업(주),92300,2013,8.94
현우산업(주),92300,2012,6.69
현우산업(주),92300,2011,5.29
현우산업(주),92300,2010,5.91
(주)저스템,417840,2019,11.04
