회사명,거래소코드,회계년도,이익잉여금(결손금)(*)(IFRS)(천원),법인세비용차감전순이익(손실)(IFRS)(천원),자산(*)(IFRS)(천원),부채(*)(IFRS)(천원),매출액(수익)(*)(IFRS)(천원),합계_기말인원(명),PER(최고)(IFRS),PER(최저)(IFRS),PBR(최고)(IFRS),PBR(최저)(IFRS),종가(원)
(주)CMG제약,058820,2010/12,-43706768,-6945220,26775627,8370511,11350419,129,0,0,4.14,1.34,792
(주)CMG제약,058820,2011/12,-44971257,-1264488,27548539,9257624,17751704,135,0,0,3.31,1.11,785
(주)CMG제약,058820,2012/12,-52368787,-6892739,56988604,25386064,16255389,134,0,0,4.33,0.78,1330
(주)CMG제약,058820,2013/12,-52151440,350267,55961620,6913407,20322140,136,529.7,220.41,4.16,1.73,932
(주)CMG제약,058820,2014/12,-52330174,171502,58127098,9060059,22752584,164,848.58,443.48,3.75,1.96,912
(주)CMG제약,058820,2015/12,-56348409,-3648668,56591972,9719267,27041894,156,0,0,9.56,2.27,2110
(주)CMG제약,058820,2016/12,-54546528,1642240,110979867,9872232,32969825,160,490.17,93.02,9.48,1.8,3180
(주)CMG제약,058820,2017/12,-3397713,2870315,109568153,11624134,41535588,200,361.96,111.7,11.36,3.5,6240
(주)CMG제약,058820,2018/12,2308864,3655605,114379880,10398033,49864782,222,157.09,70.29,9.93,4.44,4235
(주)CMG제약,058820,2019/12,5054709,3836612,192243166,12084883,58622681,241,192.36,81.01,3.47,1.46,4250
(주)DB하이텍,000990,2010/12,-434980810,-313767343,1363686317,986770710,593441908,2436,0,0,1.71,0.72,10800
(주)DB하이텍,000990,2011/12,-529391701,-89117008,1183957429,892247931,534317238,2567,0,0,3.66,1.21,7250
(주)DB하이텍,000990,2012/12,-562637444,-48972332,1149069244,874516025,583901597,2304,0,0,2.49,1.35,6330
(주)DB하이텍,000990,2013/12,-72160591,-72586959,1049494642,852207175,493752028,2142,0,0,3.25,1.79,7530
(주)DB하이텍,000990,2014/12,-134157800,-66734075,1001959816,865855755,567718224,1999,0,0,5.25,2.02,4615
(주)DB하이텍,000990,2015/12,-10928228,113917292,1005673854,728010902,666594987,2004,6.74,1.47,3.53,0.77,14300
(주)DB하이텍,000990,2016/12,75868886,85133904,1006370876,641920423,773140180,2047,10.6,5.92,2.75,1.54,15900
(주)DB하이텍,000990,2017/12,152839626,69570806,977575054,536028245,679737744,1940,14.03,6.76,2.58,1.24,12000
(주)DB하이텍,000990,2018/12,269771133,104372631,1050696487,508139265,669279136,1955,9.74,4.68,1.84,0.88,10850
(주)DB하이텍,000990,2019/12,374009785,160488293,1089400761,444095557,807416423,1979,10.6,3.67,2.12,0.73,27600
(주)ES큐브,050120,2010/12,-2424308,-2165930,47829486,5741526,34640205,197,0,0,2.3,1.21,2385
(주)ES큐브,050120,2011/12,-3118128,-2933429,45233434,6089019,41700477,237,0,0,2.55,1.28,2120
(주)ES큐브,050120,2012/12,487726,516857,44676182,4794705,44178050,236,271.56,93.46,5.81,2,3430
(주)ES큐브,050120,2013/12,-13964452,-14749080,47509654,3796835,45823196,100,0,0,2.97,1.08,1540
(주)ES큐브,050120,2014/12,-2486485,-2412385,44914173,3687837,37188072,27,0,0,1.95,1.18,1395
(주)ES큐브,050120,2015/12,3646306,3610344,47123684,2251042,36887119,39,25.72,11.98,2.08,0.97,1605
(주)ES큐브,050120,2016/12,21106703,17469014,104459992,34627619,34818205,30,6.14,3.18,1.54,0.8,1705
(주)ES큐브,050120,2017/12,22258442,1061699,104850192,33451725,37104908,35,167.32,52.65,2.89,0.91,1030
(주)ES큐브,050120,2018/12,19157733,-3840506,108481764,41963133,31308873,30,0,0,2.69,0.79,668
(주)ES큐브,050120,2019/12,4184768,-12563180,136065488,82079157,28527284,30,0,0,2.07,1.04,852
(주)HJ중공업,097230,2010/12,1036517000,-54550000,6323071000,4321759000,2734440000,3473,0,0,1.19,0.49,37800
(주)HJ중공업,097230,2011/12,904285000,-102044000,5857119000,3982242000,2316017000,2785,0,0,1.13,0.38,18550
(주)HJ중공업,097230,2012/12,896856000,25011000,5938108000,4074579000,1980761000,2634,88.04,39.68,0.62,0.28,12500
(주)HJ중공업,097230,2013/12,686883000,-279611000,5839633000,4035024000,1927307000,2758,0,0,0.52,0.26,12050
(주)HJ중공업,097230,2014/12,449960000,-248098000,5469810000,3707924000,1799016000,2544,0,0,0.68,0.2,4445
(주)HJ중공업,097230,2015/12,61394000,-316603000,4638381000,3260852000,2041347000,2632,0,0,0.55,0.26,3900
(주)HJ중공업,097230,2016/12,-444027000,-338323000,3921561000,3017411000,1928591000,2473,0,0,0.55,0.33,3365
(주)HJ중공업,097230,2017/12,-710560000,-297386000,3312303000,2748893000,1737428000,2493,0,0,0.99,0.54,3310
(주)HJ중공업,097230,2018/12,-1673444000,-991271000,2388369000,2787299000,1750954000,2271,0,0,0,0,1655
(주)HJ중공업,097230,2019/12,-1289769000,-60968000,2465650000,2218378000,1609530000,2016,0,0,3.63,0.32,4985
(주)MH에탄올,023150,2010/12,46236262,5968048,127603795,74620033,43304589,53,8.86,3.97,0.77,0.34,2840
(주)MH에탄올,023150,2011/12,49413751,4512946,135927085,79765833,43206995,51,8.42,3.75,0.5,0.22,2730
(주)MH에탄올,023150,2012/12,51965444,3316261,139200817,80487873,45488675,52,16.3,7.08,0.71,0.31,2765
