회사명,거래소코드,회계년도,이익잉여금(결손금)(*)(IFRS)(천원),법인세비용차감전순이익(손실)(IFRS연결)(천원),자산(*)(IFRS연결)(천원),부채(*)(IFRS연결)(천원),매출액(수익)(*)(IFRS연결)(천원),합계_기말인원(명),PER(최고)(IFRS),PER(최저)(IFRS),PBR(최고)(IFRS),PBR(최저)(IFRS),종가(원)
(주)CMG제약,058820,2010/12,-43706768,-6945220,26775627,8370511,11350419,129,0,0,4.14,1.34,792
(주)CMG제약,058820,2011/12,-44971257,-1508282,27305198,9270949,17751704,135,0,0,3.31,1.11,785
(주)CMG제약,058820,2012/12,-52368787,-6660149,57108035,25517350,16255389,134,0,0,4.33,0.78,1330
(주)CMG제약,058820,2013/12,-52151440,311190,55912563,6915281,20402140,136,529.7,220.41,4.16,1.73,932
(주)CMG제약,058820,2014/12,-52330174,158039,58068326,9065682,22752584,164,848.58,443.48,3.75,1.96,912
(주)CMG제약,058820,2015/12,-56348409,-3650091,56532821,9725933,27041894,156,0,0,9.56,2.27,2110
(주)CMG제약,058820,2016/12,-54546528,1642240,110979867,9872232,32969825,160,490.17,93.02,9.48,1.8,3180
(주)CMG제약,058820,2017/12,-3397713,2870315,109568153,11624134,41535588,200,361.96,111.7,11.36,3.5,6240
(주)CMG제약,058820,2018/12,2308864,3655605,114379880,10398033,49864782,222,157.09,70.29,9.93,4.44,4235
(주)CMG제약,058820,2019/12,5054709,3836612,192243166,12084883,58622681,241,192.36,81.01,3.47,1.46,4250
(주)DB하이텍,000990,2010/12,-434980810,-295677391,1381251114,983234957,620043034,2436,0,0,1.71,0.72,10800
(주)DB하이텍,000990,2011/12,-529391701,-93006979,1199043869,890982181,552216245,2567,0,0,3.66,1.21,7250
(주)DB하이텍,000990,2012/12,-562637444,-48770775,1157755031,866861695,590786488,2304,0,0,2.49,1.35,6330
(주)DB하이텍,000990,2013/12,-72160591,-81381694,1058391832,853635085,493752028,2142,0,0,3.25,1.79,7530
(주)DB하이텍,000990,2014/12,-134157800,-88969824,984876636,864173902,567718224,1999,0,0,5.25,2.02,4615
(주)DB하이텍,000990,2015/12,-10928228,115824128,984643712,730586221,666594987,2004,6.74,1.47,3.53,0.77,14300
(주)DB하이텍,000990,2016/12,75868886,85493536,986788572,644871257,773140180,2047,10.6,5.92,2.75,1.54,15900
(주)DB하이텍,000990,2017/12,152839626,104961599,993950720,538152775,679737744,1940,14.03,6.76,2.58,1.24,12000
(주)DB하이텍,000990,2018/12,269771133,96114000,1066533840,508142309,669279136,1955,9.74,4.68,1.84,0.88,10850
(주)DB하이텍,000990,2019/12,374009785,143965440,1088889810,444239080,807416423,1979,10.6,3.67,2.12,0.73,27600
(주)ES큐브,050120,2010/12,-2424308,-1512969,49189060,6567960,43887335,197,0,0,2.3,1.21,2385
(주)ES큐브,050120,2011/12,-3118128,-4596115,55477032,16231202,53379952,237,0,0,2.55,1.28,2120
(주)ES큐브,050120,2012/12,487726,-111949,46281660,6421979,55971147,236,271.56,93.46,5.81,2,3430
(주)ES큐브,050120,2013/12,-13964452,-16158719,47137573,4765132,58597361,100,0,0,2.97,1.08,1540
(주)ES큐브,050120,2014/12,-2486485,-332716,56611836,6983745,44459581,27,0,0,1.95,1.18,1395
(주)ES큐브,050120,2015/12,3646306,-2069608,55620280,5965820,42152967,39,25.72,11.98,2.08,0.97,1605
(주)ES큐브,050120,2016/12,21106703,21717370,105164626,33468504,34289385,30,6.14,3.18,1.54,0.8,1705
(주)ES큐브,050120,2017/12,22258442,1813291,105892131,33075251,35745794,35,167.32,52.65,2.89,0.91,1030
(주)ES큐브,050120,2018/12,19157733,-6069563,112430896,41682289,33763508,30,0,0,2.69,0.79,668
(주)ES큐브,050120,2019/12,4184768,-15380591,463958680,389920168,43708239,30,0,0,2.07,1.04,852
(주)HJ중공업,097230,2010/12,1036517000,-84618000,7525363000,5569572000,3167774000,3473,0,0,1.19,0.49,37800
(주)HJ중공업,097230,2011/12,904285000,-81762000,7036680000,5169832000,2891499000,2785,0,0,1.13,0.38,18550
(주)HJ중공업,097230,2012/12,896856000,-43042000,6585093000,4869577000,2549319000,2634,88.04,39.68,0.62,0.28,12500
(주)HJ중공업,097230,2013/12,686883000,-257139000,6683379000,5044381000,2529341000,2758,0,0,0.52,0.26,12050
(주)HJ중공업,097230,2014/12,449960000,-319669000,6470284000,4897208000,2520325000,2544,0,0,0.68,0.2,4445
(주)HJ중공업,097230,2015/12,61394000,-317241000,5914637000,4546048000,3115473000,2632,0,0,0.55,0.26,3900
(주)HJ중공업,097230,2016/12,-444027000,-338330000,5256464000,4361281000,2813271000,2473,0,0,0.55,0.33,3365
(주)HJ중공업,097230,2017/12,-710560000,-276333000,4206655000,3629457000,2452314000,2493,0,0,0.99,0.54,3310
(주)HJ중공업,097230,2018/12,-1673444000,-8407000,2733620000,3441806000,1697869000,2271,0,0,0,0,1655
(주)HJ중공업,097230,2019/12,-1289769000,-22227000,2470222000,2225228000,1628751000,2016,0,0,3.63,0.32,4985
(주)MH에탄올,023150,2010/12,46236262,-406591,134869380,88244233,55048463,53,8.86,3.97,0.77,0.34,2840
(주)MH에탄올,023150,2011/12,49413751,-3195134,134206851,91539513,44785159,51,8.42,3.75,0.5,0.22,2730
(주)MH에탄올,023150,2012/12,51965444,1036471,134385813,94707555,59768175,52,16.3,7.08,0.71,0.31,2765
(주)MH에탄올,023150,2013/12,40313880,708934,129697936,83812413,62199887,51,0,0,0.62,0.41,2990
(주)MH에탄올,023150,2014/12,44587948,4569592,85534839,32746158,48983781,53,17.89,4.54,1.63,0.41,7440
(주)MH에탄올,023150,2015/12,50543815,10027889,78996052,21111704,50386203,47,16.01,6.76,2.24,0.95,8760
