회사명,거래소코드,회계년도,액면가(원),종가(원)
테크엘,064520,2014/01/02,500,1325
테크윙,089030,2014/01/02,500,6750
텔레칩스,054450,2014/01/02,500,3780
텔레필드,091440,2014/01/02,500,1910
텔코웨어 보통주,078000,2014/01/02,500,11300
토비스,051360,2014/01/02,500,6550
토탈소프트뱅크,045340,2014/01/02,500,1270
톱텍,108230,2014/01/02,500,14050
투비소프트,079970,2014/01/02,500,5130
트레이스,052290,2014/01/02,500,2535
특수건설,026150,2014/01/02,500,3730
티비씨,033830,2014/01/02,5000,5480
티사이언티픽,057680,2014/01/02,500,1980
티씨케이,064760,2014/01/02,500,7580
티에스넥스젠,043220,2014/01/02,500,1435
티에스엠텍,066350,2014/01/02,500,5300
티에스이,131290,2014/01/02,500,8690
티에이치엔보통주,019180,2014/01/02,500,1395
티엘아이,062860,2014/01/02,500,7910
티와이엠보통주,002900,2014/01/02,5000,8070
티웨이홀딩스보통주,004870,2014/01/02,500,2665
티이씨앤코보통주,008900,2014/01/02,500,457
티제이미디어,032540,2014/01/02,500,2660
티케이지애강,022220,2014/01/02,500,1230
티케이지휴켐스보통주,069260,2014/01/02,1000,23150
티케이케미칼,104480,2014/01/02,500,2050
티플랙스,081150,2014/01/02,500,1510
티피씨,130740,2014/01/02,500,2520
티피씨메카트로닉스,048770,2014/01/02,500,7780
팅크웨어,084730,2014/01/02,500,8890
파나진,046210,2014/01/02,500,2720
파나케이아,058530,2014/01/02,500,1615
파라다이스,034230,2014/01/02,500,26700
파라텍,033540,2014/01/02,500,2930
파루,043200,2014/01/02,500,4015
파미셀보통주,005690,2014/01/02,500,3605
파브코 (보통주),101990,2014/01/02,500,1515
파세코,037070,2014/01/02,500,4525
파수,150900,2014/01/02,500,5330
파워로직스,047310,2014/01/02,500,4350
파이오링크,170790,2014/01/02,500,9200
파인디앤씨,049120,2014/01/02,500,883
파인디지털,038950,2014/01/02,500,5780
파인테크닉스,106240,2014/01/02,500,2040
파커스,065690,2014/01/02,500,3680
파트론,091700,2014/01/02,500,13400
팜스코보통주,036580,2014/01/02,500,8620
팜스토리,027710,2014/01/02,500,1550
팜젠사이언스보통주,004720,2014/01/02,500,402
팬스타엔터프라이즈,054300,2014/01/02,500,595
팬엔터테인먼트,068050,2014/01/02,500,2435
팬오션보통주,028670,2014/01/02,1000,762
퍼스텍보통주,010820,2014/01/02,500,1850
퍼시스보통주,016800,2014/01/02,1000,30450
페이퍼코리아보통주,001020,2014/01/02,500,703
평산차업집단 KDR,950010,2014/01/02,0,1400
평화산업 주식회사 보통주,090080,2014/01/02,500,1550
평화홀딩스보통주,010770,2014/01/02,500,2955
포메탈,119500,2014/01/02,500,4080
포스코스틸리온보통주,058430,2014/01/02,5000,13750
포스코아이씨티,022100,2014/01/02,500,7530
포스코엠텍,009520,2014/01/02,500,6490
포스코인터내셔널보통주,047050,2014/01/02,5000,41000
포스코켐텍,003670,2014/01/02,5000,123900
포스코플랜텍 보통주,051310,2014/01/02,500,6610
포스코홀딩스보통주,005490,2014/01/02,5000,322000
폴라리스오피스,041020,2014/01/02,500,10500
폴라리스우노,114630,2014/01/02,500,3690
폴루스바이오팜보통주,007630,2014/01/02,1000,548
푸드웰,005670,2014/01/02,500,2280
푸른기술,094940,2014/01/02,500,5240
푸른상호저축은행,007330,2014/01/02,1000,2920
풀무원보통주,017810,2014/01/02,5000,65700
풍국주정공업,023900,2014/01/02,500,7140
풍산 보통주,103140,2014/01/02,5000,27650
풍산홀딩스보통주,005810,2014/01/02,5000,29150
프럼파스트,035200,2014/01/02,500,3345
프로텍,053610,2014/01/02,500,8350
프리엠스,053160,2014/01/02,500,3570
프리젠,060910,2014/01/02,500,230
플래스크,041590,2014/01/02,500,2220
플랜티넷,075130,2014/01/02,500,8800
플레이그램보통주,009810,2014/01/02,500,497
플레이위드,023770,2014/01/02,500,766
플렉스컴,065270,2014/01/02,500,10300
피델릭스,032580,2014/01/02,500,2270
피씨디렉트,051380,2014/01/02,500,2745
피에스케이홀딩스,031980,2014/01/02,500,9600
피에스텍,002230,2014/01/02,500,4290
피에이치씨,057880,2014/01/02,500,1970
피에이치에이,043370,2014/01/02,500,20600
피엔티,137400,2014/01/02,500,6900
피엔풍년,024940,2014/01/02,500,1410
피엘에이,082390,2014/01/02,500,1245
피제이메탈,128660,2014/01/02,500,1625
피제이전자,006140,2014/01/02,500,10250
하나금융지주보통주,086790,2014/01/02,5000,43850
하나마이크론,067310,2014/01/02,500,5330
하나투어보통주,039130,2014/01/02,500,67500
하림,136480,2014/01/02,500,4760
하림홀딩스,024660,2014/01/02,500,4510
하이드로리튬,101670,2014/01/02,500,2520
하이록코리아,013030,2014/01/02,500,26500
하이비젼시스템,126700,2014/01/02,500,10600
하이소닉,106080,2014/01/02,500,5000
하이스틸 보통주,071090,2014/01/02,5000,18150
하이텍팜,106190,2014/01/02,500,13050
하이트론씨스템즈보통주,019490,2014/01/02,2500,6560
하이트진로보통주,000080,2014/01/02,5000,21750
하이트진로홀딩스보통주,000140,2014/01/02,5000,11450
하츠,066130,2014/01/02,500,3745
한국가구,004590,2014/01/02,1000,12750
한국가스공사보통주,036460,2014/01/02,5000,67100
한국경제티브이,039340,2014/01/02,500,1815
한국공항보통주,005430,2014/01/02,5000,22600
한국기업평가,034950,2014/01/02,5000,38500
한국내화보통주,010040,2014/01/02,500,3470
한국단자공업보통주,025540,2014/01/02,500,41050
한국석유공업보통주,004090,2014/01/02,5000,47300
한국선재,025550,2014/01/02,500,1880
한국수출포장공업보통주,002200,2014/01/02,5000,21950
한국쉘석유보통주,002960,2014/01/02,5000,458000
한국알콜산업,017890,2014/01/02,500,4015
한국앤컴퍼니보통주,000240,2014/01/02,500,21550
한국유나이티드제약 보통주,033270,2014/01/02,500,9220
한국유리공업보통주,002000,2014/01/02,5000,16100
한국전력공사보통주,015760,2014/01/02,5000,34550
한국전력기술 보통주,052690,2014/01/02,200,60100
한국전자금융,063570,2014/01/02,500,2080
한국전자인증,041460,2014/01/02,500,2525
한국전자홀딩스보통주,006200,2014/01/02,500,879
한국정밀기계,101680,2014/01/02,500,10550
한국정보공학,039740,2014/01/02,500,3395
한국정보통신,025770,2014/01/02,500,4290
한국제지보통주,002300,2014/01/02,5000,26600
한국조선해양보통주,009540,2014/01/02,5000,253500
한국종합기술보통주,023350,2014/01/02,500,4790
한국주강보통주,025890,2014/01/02,500,3545
한국주철관공업보통주,000970,2014/01/02,500,3660
한국철강보통주,104700,2014/01/02,5000,23800
한국카본보통주,017960,2014/01/02,500,8120
한국캐피탈,023760,2014/01/02,500,659
한국컴퓨터,054040,2014/01/02,500,4310
한국콜마보통주,161890,2014/01/02,500,27550
한국콜마홀딩스보통주,024720,2014/01/02,500,13900
한국큐빅,021650,2014/01/02,500,2190
한국타이어앤테크놀로지보통주,161390,2014/01/02,500,59900
한국테크놀로지,053590,2014/01/02,500,1355
한국토지신탁,034830,2014/01/02,1000,1660
한국투자 KINDEX iBoxx 선진국하이일드 증권 상장지수투자신탁(채권-파생형)(합성 H),181450,2014/01/02,0,102960
한국투자 KINDEX 다우존스 미국 리츠부동산 상장지수투자신탁(파생형)(합성 H),181480,2014/01/02,0,47485
한국투자 KINDEX 단기자금 증권 상장지수투자신탁(채권),190620,2014/01/02,0,100125
한국투자 KINDEX 레버리지 증권상장지수투자신탁(주식-파생형),152500,2014/01/02,0,4485
한국투자 KINDEX 인버스 증권 상장지수투자신탁(주식-파생형),145670,2014/01/02,0,9125
한국투자 KINDEX 중국본토 CSI300 증권 자상장지수투자신탁(주식-파생형),168580,2014/01/02,0,11900
한국투자금융지주보통주,071050,2014/01/02,5000,40500
한국특강보통주,007280,2014/01/02,5000,35100
한국팩키지,037230,2014/01/02,500,924
한국프랜지공업보통주,010100,2014/01/02,5000,11750
한국항공우주산업보통주,047810,2014/01/02,5000,28050
한국화장품보통주,123690,2014/01/02,500,1460
한국화장품제조보통주,003350,2014/01/02,500,3260
한글과컴퓨터,030520,2014/01/02,500,19600
한네트,052600,2014/01/02,500,2150
한농화성보통주,011500,2014/01/02,500,3955
한독보통주,002390,2014/01/02,500,16800
한라보통주,014790,2014/01/02,5000,5090
한라아이엠에스,092460,2014/01/02,500,4250
한라홀딩스보통주,060980,2014/01/02,5000,122500
한미글로벌건축사사무소보통주,053690,2014/01/02,500,6820
한미반도체보통주,042700,2014/01/02,500,10550
한미사이언스보통주,008930,2014/01/02,500,12250
한미약품보통주,128940,2014/01/02,2500,111000
한빛소프트,047080,2014/01/02,500,1665
한샘보통주,009240,2014/01/02,1000,51500
한섬보통주,020000,2014/01/02,500,31400
한성기업보통주,003680,2014/01/02,5000,5950
한세실업보통주,105630,2014/01/02,500,19400
한세엠케이보통주,069640,2014/01/02,500,8270
한세예스24홀딩스보통주,016450,2014/01/02,500,6190
한솔PNS보통주,010420,2014/01/02,500,1195
한솔넥스지,081970,2014/01/02,500,3920
한솔로지스틱스보통주,009180,2014/01/02,500,2630
한솔신텍,099660,2014/01/02,500,6800
한솔아이원스,114810,2014/01/02,500,6710
한솔아트원제지보통주,007190,2014/01/02,1000,2200
한솔인티큐브,070590,2014/01/02,500,1700
한솔케미칼보통주,014680,2014/01/02,5000,27000
한솔테크닉스보통주,004710,2014/01/02,5000,20100
한솔홀딩스보통주,004150,2014/01/02,5000,10900
한솔홈데코보통주,025750,2014/01/02,1000,1680
한신공영보통주,004960,2014/01/02,5000,11150
한신기계공업보통주,011700,2014/01/02,500,1220
한양디지텍,078350,2014/01/02,500,2080
한양이엔지,045100,2014/01/02,500,5820
한양증권보통주,001750,2014/01/02,5000,6250
한온시스템보통주,018880,2014/01/02,500,36550
한올바이오파마보통주,009420,2014/01/02,500,4100
한익스프레스보통주,014130,2014/01/02,5000,22200
한일네트웍스,046110,2014/01/02,500,1960
한일단조공업,024740,2014/01/02,500,2255
한일사료,005860,2014/01/02,500,1255
한일진공,123840,2014/01/02,100,2135
한일철강보통주,002220,2014/01/02,5000,13800
한일현대시멘트보통주,006390,2014/01/02,5000,4405
한일홀딩스보통주,003300,2014/01/02,5000,85500
한일화학공업,007770,2014/01/02,500,6960
한전KPS 보통주,051600,2014/01/02,200,54400
한전산업개발보통주,130660,2014/01/02,500,4265
한진보통주,002320,2014/01/02,5000,19200
한진중공업홀딩스보통주,003480,2014/01/02,5000,9700
한진칼보통주,180640,2014/01/02,2500,16450
한진피앤씨,061460,2014/01/02,500,825
한진해운보통주,117930,2014/01/02,5000,7540
한창보통주,005110,2014/01/02,500,429
한창산업,079170,2014/01/02,500,3750
한창제지보통주,009460,2014/01/02,500,620
한컴위드,054920,2014/01/02,500,2735
한컴지엠디,077280,2014/01/02,500,1905
한탑,002680,2014/01/02,500,1620
한프,066110,2014/01/02,500,925
한화 ARIRANG 단기유동성 증권 상장지수투자신탁(채권),190160,2014/01/02,0,100140
한화 ARIRANG 바벨 증권 상장지수투자신탁(채권),190150,2014/01/02,0,99900
한화ARIRANG MSCI AC World 증권상장지수투자신탁(주식-파생형)(합성 H),189400,2014/01/02,0,10290
한화갤러리아타임월드보통주,027390,2014/01/02,5000,30250
한화보통주,000880,2014/01/02,5000,38400
한화생명보험보통주,088350,2014/01/02,5000,7420
한화손해보험보통주,000370,2014/01/02,5000,4555
한화솔루션보통주,009830,2014/01/02,5000,21050
한화에어로스페이스보통주,012450,2014/01/02,5000,53600
한화투자증권보통주,003530,2014/01/02,5000,3390
한화화인케미칼보통주,025850,2014/01/02,5000,15600
해덕파워웨이,102210,2014/01/02,500,8050
해성산업,034810,2014/01/02,500,56100
해성옵틱스,076610,2014/01/02,500,6310
해피드림,065180,2014/01/02,500,280
행남사,008800,2014/01/02,5000,2915
헬릭스미스,084990,2014/01/02,500,39500
현대건설보통주,000720,2014/01/02,5000,60000
현대공업,170030,2014/01/02,500,5990
현대그린푸드보통주,005440,2014/01/02,500,16850
현대글로비스보통주,086280,2014/01/02,500,224500
현대두산인프라코어보통주,042670,2014/01/02,5000,12400
현대로템보통주,064350,2014/01/02,5000,30300
현대리바트보통주,079430,2014/01/02,1000,12900
현대모비스보통주,012330,2014/01/02,5000,279000
현대미포조선보통주,010620,2014/01/02,5000,178000
현대바이오랜드,052260,2014/01/02,500,11100
현대바이오사이언스,048410,2014/01/02,500,1550
현대백화점보통주,069960,2014/01/02,5000,160500
현대비앤지스틸보통주,004560,2014/01/02,5000,12800
현대에버다임,041440,2014/01/02,500,7350
현대에이치티,039010,2014/01/02,500,3345
현대엘리베이터보통주,017800,2014/01/02,5000,46700
현대위아보통주,011210,2014/01/02,5000,176000
현대이지웰,090850,2014/01/02,500,7910
현대자동차보통주,005380,2014/01/02,5000,224500
현대정보기술,026180,2014/01/02,1000,1635
현대제철 보통주,004020,2014/01/02,5000,83700
현대증권보통주,003450,2014/01/02,5000,5780
현대차증권보통주,001500,2014/01/02,5000,9720
현대코퍼레이션보통주,011760,2014/01/02,5000,35250
현대페인트보통주,011720,2014/01/02,500,242
현대퓨처넷보통주,126560,2014/01/02,500,5160
현대하이스코보통주,010520,2014/01/02,5000,41500
현대해상화재보험보통주,001450,2014/01/02,500,32500
현대홈쇼핑보통주,057050,2014/01/02,5000,189500
현우산업,092300,2014/01/02,500,2200
현진소재,053660,2014/01/02,500,5200
협진,138360,2014/01/02,500,6850
형지아이앤씨,011080,2014/01/02,500,1120
혜인보통주,003010,2014/01/02,500,3460
호텔신라보통주,008770,2014/01/02,5000,65500
홈센타홀딩스,060560,2014/01/02,500,3410
홈캐스트,064240,2014/01/02,500,2840
화성밸브,039610,2014/01/02,500,4245
화성산업보통주,002460,2014/01/02,5000,6140
화승인더스트리보통주,006060,2014/01/02,500,1270
화승코퍼레이션보통주,013520,2014/01/02,5000,15100
화신보통주,010690,2014/01/02,500,10850
화신정공,126640,2014/01/02,100,1545
화인자산관리(보통주),010460,2014/01/02,5000,30450
화일약품,061250,2014/01/02,500,5710
화진,134780,2014/01/02,500,6900
화천기계보통주,010660,2014/01/02,5000,26100
화천기공보통주,000850,2014/01/02,5000,50100
환인제약보통주,016580,2014/01/02,500,10750
황금에스티보통주,032560,2014/01/02,500,4100
효성보통주,004800,2014/01/02,5000,69300
효성아이티엑스 보통주,094280,2014/01/02,500,5500
후성 보통주,093370,2014/01/02,500,3260
휠라홀딩스보통주,081660,2014/01/02,5000,79800
