회사명,거래소코드,회계년도,액면가(원),종가(원)
테크엘,064520,2015/12/21,500,3945
테크엘,064520,2015/12/22,500,3600
테크엘,064520,2015/12/23,500,3860
테크엘,064520,2015/12/24,500,3700
테크엘,064520,2015/12/28,500,3560
테크엘,064520,2015/12/29,500,3415
테크엘,064520,2015/12/30,500,3415
테크윙,089030,2015/12/21,500,8990
테크윙,089030,2015/12/22,500,9070
테크윙,089030,2015/12/23,500,8990
테크윙,089030,2015/12/24,500,9000
테크윙,089030,2015/12/28,500,9090
테크윙,089030,2015/12/29,500,9000
테크윙,089030,2015/12/30,500,9060
텔레칩스,054450,2015/12/21,500,10050
텔레칩스,054450,2015/12/22,500,10100
텔레칩스,054450,2015/12/23,500,10050
텔레칩스,054450,2015/12/24,500,10050
텔레칩스,054450,2015/12/28,500,9980
텔레칩스,054450,2015/12/29,500,9980
텔레칩스,054450,2015/12/30,500,9900
텔레필드,091440,2015/12/21,500,4140
텔레필드,091440,2015/12/22,500,4370
텔레필드,091440,2015/12/23,500,4300
텔레필드,091440,2015/12/24,500,4160
텔레필드,091440,2015/12/28,500,3935
텔레필드,091440,2015/12/29,500,4010
텔레필드,091440,2015/12/30,500,4040
텔코웨어 보통주,078000,2015/12/21,500,14700
텔코웨어 보통주,078000,2015/12/22,500,14700
텔코웨어 보통주,078000,2015/12/23,500,14700
텔코웨어 보통주,078000,2015/12/24,500,14750
텔코웨어 보통주,078000,2015/12/28,500,14700
텔코웨어 보통주,078000,2015/12/29,500,14050
텔코웨어 보통주,078000,2015/12/30,500,14050
텔콘알에프제약,200230,2015/12/21,500,10900
텔콘알에프제약,200230,2015/12/22,500,10550
텔콘알에프제약,200230,2015/12/23,500,10300
텔콘알에프제약,200230,2015/12/24,500,12250
텔콘알에프제약,200230,2015/12/28,500,11150
텔콘알에프제약,200230,2015/12/29,500,11600
텔콘알에프제약,200230,2015/12/30,500,12200
토니모리보통주,214420,2015/12/21,200,40100
토니모리보통주,214420,2015/12/22,200,39400
토니모리보통주,214420,2015/12/23,200,38750
토니모리보통주,214420,2015/12/24,200,38200
토니모리보통주,214420,2015/12/28,200,37550
토니모리보통주,214420,2015/12/29,200,38000
토니모리보통주,214420,2015/12/30,200,37850
토박스코리아,215480,2015/12/21,100,2030
토박스코리아,215480,2015/12/22,100,2035
토박스코리아,215480,2015/12/23,100,2050
토박스코리아,215480,2015/12/24,100,2020
토박스코리아,215480,2015/12/28,100,2030
토박스코리아,215480,2015/12/29,100,2015
토박스코리아,215480,2015/12/30,100,2050
토비스,051360,2015/12/21,500,8040
토비스,051360,2015/12/22,500,8010
토비스,051360,2015/12/23,500,8400
토비스,051360,2015/12/24,500,8450
토비스,051360,2015/12/28,500,8750
토비스,051360,2015/12/29,500,8460
토비스,051360,2015/12/30,500,8460
토탈소프트뱅크,045340,2015/12/21,500,2340
토탈소프트뱅크,045340,2015/12/22,500,2315
