회사명,거래소코드,회계년도,액면가(원),종가(원)
AJ네트웍스보통주,095570,2016/12/26,5000,32000
AJ네트웍스보통주,095570,2016/12/27,5000,32500
AJ네트웍스보통주,095570,2016/12/28,5000,32500
AJ네트웍스보통주,095570,2016/12/29,5000,32500
AK홀딩스보통주,006840,2016/12/26,5000,54500
AK홀딩스보통주,006840,2016/12/27,5000,54600
AK홀딩스보통주,006840,2016/12/28,5000,55300
AK홀딩스보통주,006840,2016/12/29,5000,56000
BGF보통주,027410,2016/12/26,1000,82800
BGF보통주,027410,2016/12/27,1000,81200
BGF보통주,027410,2016/12/28,1000,83200
BGF보통주,027410,2016/12/29,1000,81800
BNK금융지주보통주,138930,2016/12/26,5000,8910
BNK금융지주보통주,138930,2016/12/27,5000,8900
BNK금융지주보통주,138930,2016/12/28,5000,8770
BNK금융지주보통주,138930,2016/12/29,5000,8680
BYC보통주,001460,2016/12/26,5000,398000
BYC보통주,001460,2016/12/27,5000,397000
BYC보통주,001460,2016/12/28,5000,396000
BYC보통주,001460,2016/12/29,5000,397000
CJ보통주,001040,2016/12/26,5000,185000
CJ보통주,001040,2016/12/27,5000,184000
CJ보통주,001040,2016/12/28,5000,185000
CJ보통주,001040,2016/12/29,5000,187000
CJ씨푸드보통주,011150,2016/12/26,500,3530
CJ씨푸드보통주,011150,2016/12/27,500,3435
CJ씨푸드보통주,011150,2016/12/28,500,3465
CJ씨푸드보통주,011150,2016/12/29,500,3470
CMG제약,058820,2016/12/26,500,2840
CMG제약,058820,2016/12/27,500,2745
CMG제약,058820,2016/12/28,500,2940
CMG제약,058820,2016/12/29,500,3180
CS홀딩스보통주,000590,2016/12/26,5000,80100
CS홀딩스보통주,000590,2016/12/27,5000,79900
CS홀딩스보통주,000590,2016/12/28,5000,79900
CS홀딩스보통주,000590,2016/12/29,5000,80700
DB Inc.보통주,012030,2016/12/26,500,738
DB Inc.보통주,012030,2016/12/27,500,728
DB Inc.보통주,012030,2016/12/28,500,724
DB Inc.보통주,012030,2016/12/29,500,734
DB금융투자보통주,016610,2016/12/26,5000,3330
DB금융투자보통주,016610,2016/12/27,5000,3335
DB금융투자보통주,016610,2016/12/28,5000,3350
DB금융투자보통주,016610,2016/12/29,5000,3240
DB손해보험보통주,005830,2016/12/26,500,64700
DB손해보험보통주,005830,2016/12/27,500,64800
DB손해보험보통주,005830,2016/12/28,500,63400
DB손해보험보통주,005830,2016/12/29,500,62500
DB하이텍보통주,000990,2016/12/26,5000,16200
DB하이텍보통주,000990,2016/12/27,5000,16000
DB하이텍보통주,000990,2016/12/28,5000,15650
DB하이텍보통주,000990,2016/12/29,5000,15900
DGB금융지주보통주,139130,2016/12/26,5000,9950
DGB금융지주보통주,139130,2016/12/27,5000,10050
DGB금융지주보통주,139130,2016/12/28,5000,9820
DGB금융지주보통주,139130,2016/12/29,5000,9770
DI동일보통주,001530,2016/12/26,5000,60000
DI동일보통주,001530,2016/12/27,5000,60200
DI동일보통주,001530,2016/12/28,5000,59900
DI동일보통주,001530,2016/12/29,5000,59900
DL건설보통주,001880,2016/12/26,5000,16900
DL건설보통주,001880,2016/12/27,5000,16450
DL건설보통주,001880,2016/12/28,5000,16700
DL건설보통주,001880,2016/12/29,5000,16900
DL보통주,000210,2016/12/26,5000,83400
DL보통주,000210,2016/12/27,5000,83700
DL보통주,000210,2016/12/28,5000,82700
DL보통주,000210,2016/12/29,5000,87100
DSR보통주,155660,2016/12/26,500,9720
DSR보통주,155660,2016/12/27,500,9430
DSR보통주,155660,2016/12/28,500,9420
DSR보통주,155660,2016/12/29,500,9300
DSR제강보통주,069730,2016/12/26,500,8940
DSR제강보통주,069730,2016/12/27,500,8680
DSR제강보통주,069730,2016/12/28,500,8770
DSR제강보통주,069730,2016/12/29,500,8820
E1보통주,017940,2016/12/26,5000,63600
E1보통주,017940,2016/12/27,5000,63400
E1보통주,017940,2016/12/28,5000,62600
E1보통주,017940,2016/12/29,5000,62700
ES큐브,050120,2016/12/26,500,1735
ES큐브,050120,2016/12/27,500,1700
ES큐브,050120,2016/12/28,500,1705
ES큐브,050120,2016/12/29,500,1705
F&F홀딩스,007700,2016/12/26,500,16550
F&F홀딩스,007700,2016/12/27,500,16750
F&F홀딩스,007700,2016/12/28,500,17050
F&F홀딩스,007700,2016/12/29,500,17450
GS건설보통주,006360,2016/12/26,5000,25600
GS건설보통주,006360,2016/12/27,5000,25400
GS건설보통주,006360,2016/12/28,5000,26050
GS건설보통주,006360,2016/12/29,5000,26500
GS보통주,078930,2016/12/26,5000,54200
GS보통주,078930,2016/12/27,5000,54400
GS보통주,078930,2016/12/28,5000,53800
GS보통주,078930,2016/12/29,5000,54100
HDC보통주,012630,2016/12/26,5000,44400
HDC보통주,012630,2016/12/27,5000,44100
HDC보통주,012630,2016/12/28,5000,44600
HDC보통주,012630,2016/12/29,5000,44950
HJ중공업보통주,097230,2016/12/26,5000,3395
HJ중공업보통주,097230,2016/12/27,5000,3395
HJ중공업보통주,097230,2016/12/28,5000,3375
HJ중공업보통주,097230,2016/12/29,5000,3365
IHQ보통주,003560,2016/12/26,500,1855
IHQ보통주,003560,2016/12/27,500,1835
IHQ보통주,003560,2016/12/28,500,1850
IHQ보통주,003560,2016/12/29,500,1865
JB금융지주보통주,175330,2016/12/26,5000,5830
JB금융지주보통주,175330,2016/12/27,5000,5850
JB금융지주보통주,175330,2016/12/28,5000,5840
JB금융지주보통주,175330,2016/12/29,5000,5780
JW생명과학보통주,234080,2016/12/26,5000,26750
JW생명과학보통주,234080,2016/12/27,5000,26700
JW생명과학보통주,234080,2016/12/28,5000,27350
JW생명과학보통주,234080,2016/12/29,5000,27350
JW중외제약보통주,001060,2016/12/26,2500,50000
JW중외제약보통주,001060,2016/12/27,2500,49700
JW중외제약보통주,001060,2016/12/28,2500,52500
JW중외제약보통주,001060,2016/12/29,2500,52700
JW홀딩스 보통주,096760,2016/12/26,500,8470
