회사명,거래소코드,회계년도,액면가(원),종가(원)
AJ네트웍스보통주,095570,2017/01/02,5000,32500
AK홀딩스보통주,006840,2017/01/02,5000,53100
BGF보통주,027410,2017/01/02,1000,81100
BNK금융지주보통주,138930,2017/01/02,5000,8670
BYC보통주,001460,2017/01/02,5000,398000
CJ보통주,001040,2017/01/02,5000,188000
CJ씨푸드보통주,011150,2017/01/02,500,3665
CMG제약,058820,2017/01/02,500,3235
CS홀딩스보통주,000590,2017/01/02,5000,80500
DB Inc.보통주,012030,2017/01/02,500,743
DB금융투자보통주,016610,2017/01/02,5000,3285
DB손해보험보통주,005830,2017/01/02,500,61800
DB하이텍보통주,000990,2017/01/02,5000,16300
DGB금융지주보통주,139130,2017/01/02,5000,9650
DI동일보통주,001530,2017/01/02,5000,59800
DL건설보통주,001880,2017/01/02,5000,16600
DL보통주,000210,2017/01/02,5000,88200
DSR보통주,155660,2017/01/02,500,9350
DSR제강보통주,069730,2017/01/02,500,8800
E1보통주,017940,2017/01/02,5000,62300
ES큐브,050120,2017/01/02,500,1700
F&F홀딩스,007700,2017/01/02,500,17000
GS건설보통주,006360,2017/01/02,5000,26600
GS보통주,078930,2017/01/02,5000,54300
HDC보통주,012630,2017/01/02,5000,46850
HJ중공업보통주,097230,2017/01/02,5000,3345
IHQ보통주,003560,2017/01/02,500,1865
JB금융지주보통주,175330,2017/01/02,5000,5720
JW생명과학보통주,234080,2017/01/02,5000,26800
JW중외제약보통주,001060,2017/01/02,2500,52000
JW홀딩스 보통주,096760,2017/01/02,500,8710
KB KBSTAR 200선물레버리지증권상장지수투자신탁(주식-파생형),252400,2017/01/02,0,10420
KB KBSTAR 200선물인버스2X증권상장지수투자신탁(주식-파생형),252420,2017/01/02,0,9310
KB KBSTAR 200선물인버스증권상장지수투자신탁(주식-파생형),252410,2017/01/02,0,9760
KB KBSTAR 단기통안채증권상장지수투자신탁(채권),196230,2017/01/02,0,102845
KB KBSTAR 미국S&P원유생산기업증권상장지수투자신탁(주식-파생형)(합성 H),219390,2017/01/02,0,8200
KB KBSTAR 일본레버리지증권상장지수투자신탁(주식-재간접파생형)(H),196220,2017/01/02,0,12800
KB KBSTAR 중국본토대형주CSI100증권상장지수자투자신탁(주식),174360,2017/01/02,0,12540
KB KBSTAR 차이나HSCEI증권상장지수투자신탁(주식)(H),250730,2017/01/02,0,10075
KB금융지주 보통주,105560,2017/01/02,5000,42600
KB손해보험보통주,002550,2017/01/02,500,25750
KB오토시스,024120,2017/01/02,500,7530
KCTC 보통주,009070,2017/01/02,500,3330
KD,044180,2017/01/02,100,186
KG스틸보통주,016380,2017/01/02,5000,14700
KG케미칼보통주,001390,2017/01/02,5000,14750
KH 필룩스보통주,033180,2017/01/02,500,3285
KINDEX골드선물레버리지특별자산상장지수투자신탁(금-파생형)(합성 H),225130,2017/01/02,0,10300
KISCO홀딩스보통주,001940,2017/01/02,5000,61000
KPX케미칼보통주,025000,2017/01/02,5000,60200
KPX홀딩스보통주,092230,2017/01/02,5000,65900
KR모터스보통주,000040,2017/01/02,500,888
LF보통주,093050,2017/01/02,5000,21500
LG디스플레이보통주,034220,2017/01/02,5000,31150
LG보통주,003550,2017/01/02,5000,59600
LG생명과학보통주,068870,2017/01/02,5000,67500
LG생활건강보통주,051900,2017/01/02,5000,817000
LG유플러스보통주,032640,2017/01/02,5000,11700
LG이노텍보통주,011070,2017/01/02,5000,85600
LG전자보통주,066570,2017/01/02,5000,51600
LG화학보통주,051910,2017/01/02,5000,253000
LIG넥스원보통주,079550,2017/01/02,5000,81700
LS ELECTRIC보통주,010120,2017/01/02,5000,40050
LS네트웍스보통주,000680,2017/01/02,5000,3045
LS보통주,006260,2017/01/02,5000,59800
LX인터내셔널보통주,001120,2017/01/02,5000,29550
MDS테크,086960,2017/01/02,500,20550
MH에탄올보통주,023150,2017/01/02,500,7850
NAVER보통주,035420,2017/01/02,500,777000
NHN보통주,181710,2017/01/02,500,50600
NICE보통주,034310,2017/01/02,500,17250
NI스틸보통주,008260,2017/01/02,500,3155
NPC보통주,004250,2017/01/02,500,6490
OCI보통주,010060,2017/01/02,5000,79400
S-Oil보통주,010950,2017/01/02,2500,84600
SBS미디어홀딩스보통주,101060,2017/01/02,500,2680
SGC에너지보통주,005090,2017/01/02,5000,67700
SG글로벌보통주,001380,2017/01/02,500,3380
SHD보통주,001770,2017/01/02,5000,26450
SH에너지화학보통주,002360,2017/01/02,500,1590
SIMPAC보통주,009160,2017/01/02,500,4720
SJM보통주,123700,2017/01/02,500,6040
SJM홀딩스보통주,025530,2017/01/02,500,5250
SKC보통주,011790,2017/01/02,5000,33600
SK가스보통주,018670,2017/01/02,5000,123500
SK네트웍스보통주,001740,2017/01/02,2500,6930
SK디앤디보통주,210980,2017/01/02,1000,44500
SK보통주,034730,2017/01/02,200,230000
SK이노베이션 보통주,096770,2017/01/02,5000,147000
SK증권보통주,001510,2017/01/02,500,1020
SK텔레콤보통주,017670,2017/01/02,500,225500
SNT모티브보통주,064960,2017/01/02,5000,48350
SNT에너지보통주,100840,2017/01/02,500,19050
SNT중공업보통주,003570,2017/01/02,2500,9120
SNT홀딩스보통주,036530,2017/01/02,500,15800
SPC삼립보통주,005610,2017/01/02,5000,168000
STX보통주,011810,2017/01/02,2500,1690
STX엔진보통주,077970,2017/01/02,2500,6500
STX중공업보통주,071970,2017/01/02,2500,1170
TBH글로벌보통주,084870,2017/01/02,500,8550
TCC스틸보통주,002710,2017/01/02,1000,2385
WISCOM보통주,024070,2017/01/02,500,4205
가비아,079940,2017/01/02,500,5780
가온미디어,078890,2017/01/02,500,10550
가온전선보통주,000500,2017/01/02,5000,22150
감성코퍼레이션,036620,2017/01/02,500,2475
강남제비스코보통주,000860,2017/01/02,1000,36200
강스템바이오텍,217730,2017/01/02,500,10900
강원랜드보통주,035250,2017/01/02,500,35700
강원에너지,114190,2017/01/02,500,2730
갤럭시아머니트리,094480,2017/01/02,500,4830
갤럭시아에스엠보통주,011420,2017/01/02,500,2220
경남스틸,039240,2017/01/02,500,11250
경남제약,053950,2017/01/02,500,5460
경농보통주,002100,2017/01/02,500,5860
경동나비엔보통주,009450,2017/01/02,1000,43800
경동인베스트보통주,012320,2017/01/02,5000,76000
경동제약,011040,2017/01/02,1000,18150
경방보통주,000050,2017/01/02,500,14800
경보제약보통주,214390,2017/01/02,500,13600
경인양행보통주,012610,2017/01/02,500,5110
경인전자보통주,009140,2017/01/02,5000,23000
경창산업,024910,2017/01/02,500,5380
계룡건설산업보통주,013580,2017/01/02,5000,14050
계양전기보통주,012200,2017/01/02,500,5020
고려개발보통주,004200,2017/01/02,5000,6240
고려산업보통주,002140,2017/01/02,1000,7100
고려시멘트,198440,2017/01/02,100,2000
고려신용정보,049720,2017/01/02,500,2680
고려아연보통주,010130,2017/01/02,5000,484000
고려제강보통주,002240,2017/01/02,1000,40300
고려제약,014570,2017/01/02,500,6610
고영테크놀러지,098460,2017/01/02,500,45100
골드앤에스,035290,2017/01/02,500,3800
골드퍼시픽,038530,2017/01/02,500,777
골든브릿지제2호기업인수목적,206660,2017/01/02,100,1985
골든브릿지제3호기업인수목적,219580,2017/01/02,100,1970
골프존,215000,2017/01/02,500,64400
골프존뉴딘홀딩스,121440,2017/01/02,500,7390
광동제약보통주,009290,2017/01/02,1000,8430
광림,014200,2017/01/02,500,7940
광명전기보통주,017040,2017/01/02,500,3335
광무,029480,2017/01/02,500,1625
광전자보통주,017900,2017/01/02,500,2290
광주신세계보통주,037710,2017/01/02,5000,245000
광주은행보통주,192530,2017/01/02,5000,10650
광진실업,026910,2017/01/02,500,4685
교보5호기업인수목적,223040,2017/01/02,100,1985
교보악사 파워 단기채 증권 상장지수투자신탁[채권],226810,2017/01/02,0,101955
교보증권보통주,030610,2017/01/02,5000,8810
구영테크,053270,2017/01/02,500,2375
국도화학보통주,007690,2017/01/02,5000,54600
국동보통주,005320,2017/01/02,500,7970
국보디자인,066620,2017/01/02,500,17000
국보보통주,001140,2017/01/02,5000,21300
국순당,043650,2017/01/02,500,7010
국영지앤엠,006050,2017/01/02,500,2150
국일신동,060480,2017/01/02,500,4400
국일제지,078130,2017/01/02,100,564
국제약품보통주,002720,2017/01/02,1000,4495
그래디언트,035080,2017/01/02,500,4900
그랜드코리아레저보통주,114090,2017/01/02,500,19950
그린케미칼보통주,083420,2017/01/02,500,4605
극동유화보통주,014530,2017/01/02,500,3215
글로벌스탠다드테크놀로지,083450,2017/01/02,500,5570
글로벌에스엠테크리미티드,900070,2017/01/02,0.5,2005
글로벌텍스프리,204620,2017/01/02,100,2000
글로본,019660,2017/01/02,500,4470
금강공업보통주,014280,2017/01/02,5000,40100
금강철강,053260,2017/01/02,500,5230
금빛,045890,2017/01/02,500,1995
금성테크,058370,2017/01/02,500,1555
금양보통주,001570,2017/01/02,500,2925
금호건설보통주,002990,2017/01/02,5000,9680
금호석유화학보통주,011780,2017/01/02,5000,85400
금호에이치티보통주,214330,2017/01/02,500,6300
금호전기보통주,001210,2017/01/02,5000,9580
금호타이어보통주,073240,2017/01/02,5000,8520
금화피에스시,036190,2017/01/02,500,35050
기가레인,049080,2017/01/02,500,5520
기산텔레콤,035460,2017/01/02,500,3655
기아보통주,000270,2017/01/02,5000,39500
까뮤이앤씨보통주,013700,2017/01/02,5000,11000
깨끗한나라보통주,004540,2017/01/02,5000,5810
나노,187790,2017/01/02,100,1850
나노신소재,121600,2017/01/02,500,15200
나노엔텍,039860,2017/01/02,500,5110
나노캠텍,091970,2017/01/02,500,5130
나라엠앤디,051490,2017/01/02,500,3935
