회사명,거래소코드,회계년도,종가(원),액면가(원)
테크엘,064520,2019/12/24,20900,500
테크엘,064520,2019/12/26,20900,500
테크엘,064520,2019/12/27,20900,500
테크엘,064520,2019/12/30,20900,500
테크윙,089030,2019/12/24,12800,500
테크윙,089030,2019/12/26,13800,500
테크윙,089030,2019/12/27,13950,500
테크윙,089030,2019/12/30,13900,500
텔레칩스,054450,2019/12/24,10100,500
텔레칩스,054450,2019/12/26,10200,500
텔레칩스,054450,2019/12/27,10600,500
텔레칩스,054450,2019/12/30,10550,500
텔레필드,091440,2019/12/24,3280,500
텔레필드,091440,2019/12/26,3305,500
텔레필드,091440,2019/12/27,3355,500
텔레필드,091440,2019/12/30,3410,500
텔코웨어 보통주,078000,2019/12/24,13800,500
텔코웨어 보통주,078000,2019/12/26,13950,500
텔코웨어 보통주,078000,2019/12/27,13350,500
텔코웨어 보통주,078000,2019/12/30,13300,500
텔콘알에프제약,200230,2019/12/24,5460,100
텔콘알에프제약,200230,2019/12/26,5030,100
텔콘알에프제약,200230,2019/12/27,4910,100
텔콘알에프제약,200230,2019/12/30,4860,100
토니모리보통주,214420,2019/12/24,10050,200
토니모리보통주,214420,2019/12/26,10150,200
토니모리보통주,214420,2019/12/27,10350,200
토니모리보통주,214420,2019/12/30,10450,200
토박스코리아,215480,2019/12/24,1330,100
토박스코리아,215480,2019/12/26,1320,100
토박스코리아,215480,2019/12/27,1340,100
토박스코리아,215480,2019/12/30,1355,100
토비스,051360,2019/12/24,9350,500
토비스,051360,2019/12/26,9580,500
토비스,051360,2019/12/27,9350,500
토비스,051360,2019/12/30,9420,500
토탈소프트뱅크,045340,2019/12/24,3130,500
토탈소프트뱅크,045340,2019/12/26,3180,500
토탈소프트뱅크,045340,2019/12/27,3155,500
토탈소프트뱅크,045340,2019/12/30,3175,500
톱텍,108230,2019/12/24,9590,500
톱텍,108230,2019/12/26,9950,500
톱텍,108230,2019/12/27,10050,500
톱텍,108230,2019/12/30,9990,500
투비소프트,079970,2019/12/24,2410,500
투비소프트,079970,2019/12/26,2450,500
투비소프트,079970,2019/12/27,2525,500
투비소프트,079970,2019/12/30,2630,500
트루윈,105550,2019/12/24,6000,500
트루윈,105550,2019/12/26,5890,500
트루윈,105550,2019/12/27,6040,500
트루윈,105550,2019/12/30,6040,500
특수건설,026150,2019/12/24,6060,500
특수건설,026150,2019/12/26,6280,500
특수건설,026150,2019/12/27,6310,500
