회사명,거래소코드,회계년도,감사의견코드(IFRS)
(주)CMG제약,058820,2011/12,UQ
(주)CMG제약,058820,2012/12,UQ
(주)CMG제약,058820,2013/12,UQ
(주)CMG제약,058820,2014/12,UQ
(주)CMG제약,058820,2015/12,UQ
(주)CMG제약,058820,2016/12,UQ
(주)CMG제약,058820,2017/12,UQ
(주)CMG제약,058820,2018/12,UQ
(주)CMG제약,058820,2019/12,UQ
(주)DB하이텍,000990,2011/12,UQ
(주)DB하이텍,000990,2012/12,UQ
(주)DB하이텍,000990,2013/12,UQ
(주)DB하이텍,000990,2014/12,UQ
(주)DB하이텍,000990,2015/12,UQ
(주)DB하이텍,000990,2016/12,UQ
(주)DB하이텍,000990,2017/12,UQ
(주)DB하이텍,000990,2018/12,UQ
(주)DB하이텍,000990,2019/12,UQ
(주)ES큐브,050120,2011/12,UQ
(주)ES큐브,050120,2012/12,UQ
(주)ES큐브,050120,2013/12,UQ
(주)ES큐브,050120,2014/12,UQ
(주)ES큐브,050120,2015/12,UQ
(주)ES큐브,050120,2016/12,UQ
(주)ES큐브,050120,2017/12,UQ
(주)ES큐브,050120,2018/12,UQ
(주)ES큐브,050120,2019/12,UQ
(주)HJ중공업,097230,2011/12,UQ
(주)HJ중공업,097230,2012/12,UQ
(주)HJ중공업,097230,2013/12,UQ
(주)HJ중공업,097230,2014/12,UQ
(주)HJ중공업,097230,2015/12,UQ
(주)HJ중공업,097230,2016/12,UQ
(주)HJ중공업,097230,2017/12,UQ
(주)HJ중공업,097230,2018/12,UQ
(주)HJ중공업,097230,2019/12,UQ
(주)MH에탄올,023150,2011/12,UQ
(주)MH에탄올,023150,2012/12,UQ
(주)MH에탄올,023150,2013/12,UQ
(주)MH에탄올,023150,2014/12,UQ
(주)MH에탄올,023150,2015/12,UQ
(주)MH에탄올,023150,2016/12,UQ
(주)MH에탄올,023150,2017/12,UQ
(주)MH에탄올,023150,2018/12,UQ
(주)MH에탄올,023150,2019/12,UQ
(주)SH에너지화학,002360,2011/12,UQ
(주)SH에너지화학,002360,2012/12,UQ
(주)SH에너지화학,002360,2013/12,UQ
