회사명,거래소코드,회계년도,거래량,거래일수
테크엘,064520,2010/01,45601286,20
테크엘,064520,2010/02,46409358,19
테크엘,064520,2010/03,26936659,22
테크엘,064520,2010/04,12401355,22
테크엘,064520,2010/05,37594339,19
테크엘,064520,2010/06,89009024,21
테크엘,064520,2010/07,221580873,22
테크엘,064520,2010/08,61949589,22
테크엘,064520,2010/09,56065526,19
테크엘,064520,2010/10,20235328,21
테크엘,064520,2010/11,17449287,22
테크엘,064520,2010/12,17238114,22
테크엘,064520,2011/01,18006996,21
테크엘,064520,2011/02,24772340,17
테크엘,064520,2011/03,21400467,22
테크엘,064520,2011/04,39530073,21
테크엘,064520,2011/05,9940206,20
테크엘,064520,2011/06,24509408,21
테크엘,064520,2011/07,35399074,21
테크엘,064520,2011/08,57836641,22
테크엘,064520,2011/09,22870496,20
테크엘,064520,2011/10,82183964,20
테크엘,064520,2011/11,92047684,22
테크엘,064520,2011/12,36784260,21
테크엘,064520,2012/01,63268727,20
테크엘,064520,2012/02,126465354,21
테크엘,064520,2012/03,127883890,21
테크엘,064520,2012/04,49283919,20
테크엘,064520,2012/05,41363473,21
테크엘,064520,2012/06,27409888,20
테크엘,064520,2012/07,11394570,22
테크엘,064520,2012/08,60573405,22
테크엘,064520,2012/09,37963971,20
테크엘,064520,2012/10,72072351,21
테크엘,064520,2012/11,37205289,22
테크엘,064520,2012/12,19752280,18
테크엘,064520,2013/01,65312709,22
테크엘,064520,2013/02,18173570,19
테크엘,064520,2013/03,45600130,20
테크엘,064520,2013/04,20180902,22
테크엘,064520,2013/05,16934652,21
테크엘,064520,2013/06,10667823,19
테크엘,064520,2013/07,10301978,23
테크엘,064520,2013/08,10152533,21
테크엘,064520,2013/09,4447688,18
테크엘,064520,2013/10,17546664,21
테크엘,064520,2013/11,21964040,21
테크엘,064520,2013/12,37949705,20
테크엘,064520,2014/01,33603597,20
테크엘,064520,2014/02,17910783,20
테크엘,064520,2014/03,14151620,21
테크엘,064520,2014/04,46546971,22
테크엘,064520,2014/05,49250412,19
테크엘,064520,2014/06,13553105,19
테크엘,064520,2014/07,27566661,23
테크엘,064520,2014/08,15713258,20
테크엘,064520,2014/09,9410716,19
테크엘,064520,2014/10,9807405,21
테크엘,064520,2014/11,6037012,20
테크엘,064520,2014/12,24875509,21
테크엘,064520,2015/01,23882316,21
테크엘,064520,2015/02,11477784,17
테크엘,064520,2015/03,16901117,22
테크엘,064520,2015/04,50938927,22
테크엘,064520,2015/05,20593033,18
테크엘,064520,2015/06,13974344,22
테크엘,064520,2015/07,49138829,23
테크엘,064520,2015/08,22674069,20
테크엘,064520,2015/09,34896664,20
테크엘,064520,2015/10,73032385,21
테크엘,064520,2015/11,360503159,21
테크엘,064520,2015/12,633809271,21
테크엘,064520,2016/01,242892980,20
테크엘,064520,2016/02,163995862,18
테크엘,064520,2016/03,133046419,22
테크엘,064520,2016/04,61263147,20
테크엘,064520,2016/05,84534862,20
테크엘,064520,2016/06,37950376,21
테크엘,064520,2016/07,43700465,21
테크엘,064520,2016/08,36549764,22
테크엘,064520,2016/09,41970962,19
테크엘,064520,2016/10,20674988,20
테크엘,064520,2016/11,39950599,22
테크엘,064520,2016/12,24327864,21
테크엘,064520,2017/01,118518345,20
테크엘,064520,2017/02,44414239,20
테크엘,064520,2017/03,47187364,22
테크엘,064520,2017/04,50254376,20
테크엘,064520,2017/05,18281549,19
테크엘,064520,2017/06,34608628,21
테크엘,064520,2017/07,13141770,21
테크엘,064520,2017/08,14479507,22
테크엘,064520,2017/09,15282715,21
테크엘,064520,2017/10,29055626,16
테크엘,064520,2017/11,140044326,22
테크엘,064520,2017/12,100560723,19
테크엘,064520,2018/01,94312452,22
테크엘,064520,2018/02,29356346,18
테크엘,064520,2018/03,22131926,21
테크엘,064520,2018/04,14155687,21
테크엘,064520,2018/05,35578478,20
테크엘,064520,2018/06,8753751,19
테크엘,064520,2018/07,68978397,22
테크엘,064520,2018/08,13679103,22
테크엘,064520,2018/09,77183255,17
테크엘,064520,2018/10,43311823,21
테크엘,064520,2018/11,37213278,22
테크엘,064520,2018/12,48668425,19
테크엘,064520,2019/01,0,22
테크엘,064520,2019/02,0,17
테크엘,064520,2019/03,0,20
테크엘,064520,2019/04,0,22
테크엘,064520,2019/05,0,21
테크엘,064520,2019/06,0,19
테크엘,064520,2019/07,0,23
테크엘,064520,2019/08,0,21
테크엘,064520,2019/09,0,19
테크엘,064520,2019/10,0,21
테크엘,064520,2019/11,0,21
테크엘,064520,2019/12,0,20
테크윙,089030,2011/11,8889924,15
테크윙,089030,2011/12,6266430,21
테크윙,089030,2012/01,10746131,20
테크윙,089030,2012/02,7485212,21
테크윙,089030,2012/03,9172369,21
테크윙,089030,2012/04,2910288,20
테크윙,089030,2012/05,2943418,21
테크윙,089030,2012/06,2206525,20
테크윙,089030,2012/07,4993950,22
테크윙,089030,2012/08,3709998,22
테크윙,089030,2012/09,3586498,20
테크윙,089030,2012/10,2066718,21
테크윙,089030,2012/11,1938264,22
테크윙,089030,2012/12,2896228,18
테크윙,089030,2013/01,4243366,22
테크윙,089030,2013/02,5322234,19
테크윙,089030,2013/03,3343784,20
테크윙,089030,2013/04,6288521,22
테크윙,089030,2013/05,5707063,21
테크윙,089030,2013/06,3354915,19
테크윙,089030,2013/07,2946480,23
테크윙,089030,2013/08,3244333,21
테크윙,089030,2013/09,1640421,18
테크윙,089030,2013/10,1618700,21
테크윙,089030,2013/11,1455342,21
테크윙,089030,2013/12,2594989,20
테크윙,089030,2014/01,2237320,20
테크윙,089030,2014/02,1329390,20
테크윙,089030,2014/03,1434247,21
