회사명,거래소코드,회계년도,매출액(수익)(*)(IFRS)(천원),자산(*)(IFRS)(천원),당기순이익(손실)(IFRS)(천원),계속영업이익(손실)(IFRS)(천원),유동자산(*)(IFRS)(천원),유형자산(*)(IFRS)(천원)
(주)CMG제약,058820,2010/12,11350419,26775627,-6945220,-6945220,13041215,10316860
(주)CMG제약,058820,2011/12,17751704,27548539,-1264488,-1264488,15264885,9652599
(주)CMG제약,058820,2012/12,16255389,56988604,-6892739,-6892739,47073443,9264142
(주)CMG제약,058820,2013/12,20322140,55961620,335258,350267,38258866,10805092
(주)CMG제약,058820,2014/12,22752584,58127098,171502,171502,28359823,18833775
(주)CMG제약,058820,2015/12,27041894,56591972,-3648668,-3648668,26330765,17822468
(주)CMG제약,058820,2016/12,32969825,110979867,1693463,1693463,78772201,16905814
(주)CMG제약,058820,2017/12,41535588,109568153,2834901,2834901,81227330,16182518
(주)CMG제약,058820,2018/12,49864782,114379880,6065026,6065026,81370415,17268535
(주)CMG제약,058820,2019/12,58622681,192243166,3051177,3051177,150584066,24119403
(주)DB하이텍,000990,2010/12,593441908,1363686317,-204814784,-326947745,298797846,823347589
(주)DB하이텍,000990,2011/12,534317238,1183957429,-93084414,-93084414,265976810,758179817
(주)DB하이텍,000990,2012/12,583901597,1149069244,-32121504,-48506570,303296307,684941380
(주)DB하이텍,000990,2013/12,493752028,1049494642,-73243309,-73243309,222316934,635765049
(주)DB하이텍,000990,2014/12,567718224,1001959816,-58319918,-58319918,246306720,591653498
(주)DB하이텍,000990,2015/12,666594987,1005673854,127469869,127469869,334045125,533113708
(주)DB하이텍,000990,2016/12,773140180,1006370876,88002359,88002359,364126852,547687840
(주)DB하이텍,000990,2017/12,679737744,977575054,74401732,74401732,348507961,555556192
(주)DB하이텍,000990,2018/12,669279136,1050696487,95087399,95087399,380098326,597563521
(주)DB하이텍,000990,2019/12,807416423,1089400761,121159865,121159865,422531166,616562743
(주)ES큐브,050120,2010/12,34640205,47829486,-2165930,-2165930,26290142,1595923
(주)ES큐브,050120,2011/12,41700477,45233434,-2933429,-2933429,18786276,1407274
(주)ES큐브,050120,2012/12,44178050,44676182,516857,516857,15631243,1395951
(주)ES큐브,050120,2013/12,45823196,47509654,-14749080,-14749080,32518902,914811
