회사명,거래소코드,회계년도,매출액(수익)(*)(IFRS연결)(천원),자산(*)(IFRS연결)(천원),당기순이익(손실)(IFRS연결)(천원),계속영업이익(손실)(IFRS연결)(천원),유동자산(*)(IFRS연결)(천원),유형자산(*)(IFRS연결)(천원)
(주)CMG제약,058820,2010/12,11350419,26775627,-6945220,-6945220,13041215,10316860
(주)CMG제약,058820,2011/12,17751704,27305198,-1508282,-1508282,15341167,9707759
(주)CMG제약,058820,2012/12,16255389,57108035,-6660149,-6660149,47109213,9307482
(주)CMG제약,058820,2013/12,20402140,55912563,296181,311190,38209699,10805092
(주)CMG제약,058820,2014/12,22752584,58068326,158039,158039,28300941,18833775
(주)CMG제약,058820,2015/12,27041894,56532821,-3650091,-3650091,26271614,17822468
(주)CMG제약,058820,2016/12,32969825,110979867,1727895,1693463,78772201,16905814
(주)CMG제약,058820,2017/12,41535588,109568153,2834901,2834901,81227330,16182518
(주)CMG제약,058820,2018/12,49864782,114379880,6065026,6065026,81370415,17268535
(주)CMG제약,058820,2019/12,58622681,192243166,3051177,3051177,150584066,24119403
(주)DB하이텍,000990,2010/12,620043034,1381251114,-191152903,-313285863,311090151,823918082
(주)DB하이텍,000990,2011/12,552216245,1199043869,-97946584,-97946584,279725559,758902417
(주)DB하이텍,000990,2012/12,590786488,1157755031,-31341318,-47726384,309144147,685389046
(주)DB하이텍,000990,2013/12,493752028,1058391832,-83046768,-83046768,222960700,636040366
(주)DB하이텍,000990,2014/12,567718224,984876636,-77008844,-77008844,247582371,591787281
(주)DB하이텍,000990,2015/12,666594987,984643712,126733352,126733352,337757266,533140340
(주)DB하이텍,000990,2016/12,773140180,986788572,88344018,88344018,368924211,547700934
(주)DB하이텍,000990,2017/12,679737744,993950720,110175089,110175089,353662841,555566835
(주)DB하이텍,000990,2018/12,669279136,1066533840,86828768,86828768,383378937,597570491
(주)DB하이텍,000990,2019/12,807416423,1088889810,104637012,104637012,426263421,616573800
(주)ES큐브,050120,2010/12,43887335,49189060,-1632071,-1632071,32820950,3374904
(주)ES큐브,050120,2011/12,53379952,55477032,-4796438,-4796438,34078195,4313834
(주)ES큐브,050120,2012/12,55971147,46281660,-359216,-359216,22707006,3181598
(주)ES큐브,050120,2013/12,58597361,47137573,-16455910,-16455910,38357211,2177498
(주)ES큐브,050120,2014/12,44459581,56611836,-615409,-615409,46214758,2299195
(주)ES큐브,050120,2015/12,42152967,55620280,-2307159,-2307159,41180599,1968118
(주)ES큐브,050120,2016/12,34289385,105164626,21541047,21541047,50885945,7063781
(주)ES큐브,050120,2017/12,35745794,105892131,1737925,1737925,51038158,11623688
(주)ES큐브,050120,2018/12,33763508,112430896,-6121462,-6121462,45061626,15202081
(주)ES큐브,050120,2019/12,43708239,463958680,-13767748,-13767748,359030693,17333381
(주)HJ중공업,097230,2010/12,3167774000,7525363000,-72295000,-72295000,2757267000,3193218000
(주)HJ중공업,097230,2011/12,2891499000,7036680000,-96920000,-96920000,2391530000,3144355000
(주)HJ중공업,097230,2012/12,2549319000,6585093000,-53214000,-53214000,2274211000,2901480000
(주)HJ중공업,097230,2013/12,2529341000,6683379000,-190193000,-190193000,2788908000,2808246000
(주)HJ중공업,097230,2014/12,2520325000,6470284000,-299811000,-299811000,2647534000,2703561000
(주)HJ중공업,097230,2015/12,3115473000,5914637000,-260925000,-260925000,2429499000,2735463000
(주)HJ중공업,097230,2016/12,2813271000,5256464000,-334446000,-334446000,2372221000,2404052000
(주)HJ중공업,097230,2017/12,2452314000,4206655000,-277978000,-277978000,1894161000,1792322000
(주)HJ중공업,097230,2018/12,1697869000,2733620000,-1283647000,19245000,1720906000,638765000
(주)HJ중공업,097230,2019/12,1628751000,2470222000,306169000,-35341000,1300538000,615117000
(주)MH에탄올,023150,2010/12,55048463,134869380,-1792566,-1792566,45987130,73133795
(주)MH에탄올,023150,2011/12,44785159,134206851,-4357312,-4357312,45677724,75265905
(주)MH에탄올,023150,2012/12,59768175,134385813,287369,287369,50009828,71841895
(주)MH에탄올,023150,2013/12,62199887,129697936,7028234,7028234,43178092,70410722
(주)MH에탄올,023150,2014/12,48983781,85534839,-203193,4919051,28731429,36083190
(주)MH에탄올,023150,2015/12,50386203,78996052,7778593,7778593,22500870,36846510
(주)MH에탄올,023150,2016/12,48897025,72339673,8144684,8144684,19709368,37390804
(주)MH에탄올,023150,2017/12,51977132,500180086,4308068,4308068,84767703,389268406
(주)MH에탄올,023150,2018/12,72795863,440177523,-12033428,-12033428,29576016,390589052
(주)MH에탄올,023150,2019/12,80879342,451474451,-7552043,-7552043,32814839,402623574
(주)SH에너지화학,002360,2010/12,150630768,95617808,-6500918,-6500918,38946747,32764894
(주)SH에너지화학,002360,2011/12,173209351,104710740,1800972,1800972,50355479,33220422
(주)SH에너지화학,002360,2012/12,193950102,103690070,210854,210854,50509179,32784916
(주)SH에너지화학,002360,2013/12,231912218,110488951,4606872,4606872,59051785,32065097
(주)SH에너지화학,002360,2014/12,230912587,110741407,16733050,16733050,60325646,31132703
(주)SH에너지화학,002360,2015/12,216441364,115520726,12590617,12590617,68213722,32660706
(주)SH에너지화학,002360,2016/12,218397677,124488724,18028878,18028878,84222915,31796198
(주)SH에너지화학,002360,2017/12,188114822,125312154,9879057,9879057,87597479,31096409
(주)SH에너지화학,002360,2018/12,183598766,122434685,2033570,2033570,85758694,30043406
(주)SH에너지화학,002360,2019/12,140852575,123415832,-3090151,-3090151,83558867,33194337
(주)SIMPAC,009160,2010/12,181795010,269452191,20514721,20514721,133475002,60703290
(주)SIMPAC,009160,2011/12,215365697,310879328,24976613,24976613,152885455,72940322
(주)SIMPAC,009160,2012/12,225353321,318665505,19285856,19285856,152757766,74000157
(주)SIMPAC,009160,2013/12,205751154,361985890,20043596,20043596,108635043,73711642
(주)SIMPAC,009160,2014/12,263152264,381939281,14312319,14312319,144850453,169381419
(주)SIMPAC,009160,2015/12,269528038,422833445,16449973,16449973,174086524,180973199
(주)SIMPAC,009160,2016/12,267074156,417865468,16183843,16183843,176778523,178694040
(주)SIMPAC,009160,2017/12,230634812,381158251,12895699,12895699,150671614,172659787
(주)SIMPAC,009160,2018/12,306150809,681750819,69198558,69198558,310736335,357331367
(주)SIMPAC,009160,2019/12,430085162,679145850,9487516,9487516,289195402,263608239
(주)SNT에너지,100840,2010/12,,,,,,
(주)SNT에너지,100840,2011/12,,,,,,
(주)SNT에너지,100840,2012/12,,,,,,
(주)SNT에너지,100840,2013/12,,,,,,
(주)SNT에너지,100840,2014/12,,,,,,
(주)SNT에너지,100840,2015/12,,,,,,
(주)SNT에너지,100840,2016/12,,,,,,
(주)SNT에너지,100840,2017/12,,,,,,
(주)SNT에너지,100840,2018/12,,,,,,
(주)SNT에너지,100840,2019/12,213326726,333897235,15452273,15452273,204986584,123257799
(주)SNT홀딩스,036530,2010/12,1500160508,2038921397,85735593,85735593,953602035,973419146
(주)SNT홀딩스,036530,2011/12,1663846065,2124828265,87196578,87196578,1041841182,989038851
(주)SNT홀딩스,036530,2012/12,1668749904,2074903906,63253909,63253909,998857779,984180010
(주)SNT홀딩스,036530,2013/12,1576368464,2149176237,53763061,53763061,1070812404,986231198
(주)SNT홀딩스,036530,2014/12,1552374806,2039388864,66985248,59657237,994978341,933346465
(주)SNT홀딩스,036530,2015/12,1612746929,2169311305,116419931,116419931,1140793639,928315887
(주)SNT홀딩스,036530,2016/12,1537700275,2210178425,10146568,10146568,1205349271,908800105
(주)SNT홀딩스,036530,2017/12,1508152132,2146174938,25863066,25863066,1187727595,880843802
(주)SNT홀딩스,036530,2018/12,1401307482,2113834573,73732317,73732317,1168023374,869282994
(주)SNT홀딩스,036530,2019/12,1512114565,2236679025,124509305,124509305,1266526398,871104106
(주)STX,011810,2010/12,4045884000,6092977000,229769000,181278000,2287968000,1451166000
(주)STX,011810,2011/12,5967701000,5234175000,222363000,105158000,1430457000,818420000
(주)STX,011810,2012/12,6159850000,5067029000,-490928000,-490928000,1484305000,1044547000
(주)STX,011810,2013/12,2449401000,1342520000,-1595630000,-1497031000,793607000,215510000
(주)STX,011810,2014/12,1634606000,1255002000,380584000,358183000,893610000,108080000
(주)STX,011810,2015/12,1630827000,1267224000,-48982000,-48982000,902119000,101700000
(주)STX,011810,2016/12,1720153000,707709000,-457446000,-457446000,486347000,73715000
(주)STX,011810,2017/12,1803878000,627542000,334386000,334386000,475786000,70760000
(주)STX,011810,2018/12,1502985000,554061000,9107000,9107000,422861000,74249000
(주)STX,011810,2019/12,1471164000,560107000,-33218000,-33218000,386401000,90288000
(주)TCC스틸,002710,2010/12,460900040,414696288,13847168,13847168,173975801,80517759
(주)TCC스틸,002710,2011/12,514424043,454329510,4557868,4557868,183481284,84444856
(주)TCC스틸,002710,2012/12,501337475,547013976,124581,124581,218440703,143845835
(주)TCC스틸,002710,2013/12,500832754,543708595,-19955830,-19955830,220034732,156557380
(주)TCC스틸,002710,2014/12,518995240,551000563,-15813610,-15813610,233224033,151621286
(주)TCC스틸,002710,2015/12,495795871,376394571,-110218983,-6600932,240184174,71859909
(주)TCC스틸,002710,2016/12,444453635,282914735,16948843,16509748,120777516,64693517
(주)TCC스틸,002710,2017/12,391370092,278692540,1503708,1503708,120243911,58943990
(주)TCC스틸,002710,2018/12,413176279,304781579,9755131,9755131,152165969,55878504
(주)TCC스틸,002710,2019/12,437173902,314210087,5037267,5037267,148991647,59322335
(주)가비아,079940,2010/12,40623302,52912228,5572559,5572559,23312665,19870745
(주)가비아,079940,2011/12,52838864,64954440,7014899,7014899,28837190,22149161
(주)가비아,079940,2012/12,69058144,85244515,9419144,9419144,31997486,37833915
(주)가비아,079940,2013/12,70675565,91231294,9505713,9505713,37411881,37047584
(주)가비아,079940,2014/12,80432047,98544072,6752737,6752737,41920706,37099200
(주)가비아,079940,2015/12,91648622,105081568,8530281,8530281,52239105,36916970
(주)가비아,079940,2016/12,102178978,125796754,10177685,10177685,60241586,43221838
(주)가비아,079940,2017/12,116217941,133382584,9669613,9669613,66113388,45452326
(주)가비아,079940,2018/12,128728438,151440505,15340647,15340647,78058272,49107084
(주)가비아,079940,2019/12,148306878,199916131,21102390,21102390,86880807,85359914
(주)가온칩스,399720,2018/12,,,,,,
(주)가온칩스,399720,2019/12,,,,,,
(주)강스템바이오텍,217730,2013/12,,,,,,
(주)강스템바이오텍,217730,2014/12,,,,,,
(주)강스템바이오텍,217730,2015/12,,,,,,
(주)강스템바이오텍,217730,2016/12,,,,,,
(주)강스템바이오텍,217730,2017/12,9132939,47198979,-11531949,-11531949,25246012,13229478
(주)강스템바이오텍,217730,2018/12,9165454,73194018,-14294032,-14294032,48992790,15140205
(주)강스템바이오텍,217730,2019/12,6004584,113643697,-26394472,-26394472,55408095,31219524
(주)강원랜드,035250,2010/12,1313788411,2609098339,426209186,426209186,1071382307,1237326458
(주)강원랜드,035250,2011/12,1265686425,2711401782,381175313,381175313,1163791156,1312308962
(주)강원랜드,035250,2012/12,1296191223,2906655321,306228988,306228988,1165450728,1357670542
(주)강원랜드,035250,2013/12,1361286598,3102036846,297596347,297596347,1080401909,1385719165
(주)강원랜드,035250,2014/12,1496541441,3375127289,359348568,359348568,1371825587,1387584592
(주)강원랜드,035250,2015/12,1633716839,3690791830,441629101,441629101,1750420316,1353560925
(주)강원랜드,035250,2016/12,1696532511,3978987574,454533659,454533659,1809513458,1315715882
(주)강원랜드,035250,2017/12,1604470055,4185657487,437540507,437540507,2164296051,1297980610
(주)강원랜드,035250,2018/12,1438059299,4231241354,297236881,297236881,1759033105,1314038393
(주)강원랜드,035250,2019/12,1520080449,4438119306,334653892,334653892,1878191161,1370568026
(주)강원에너지,114190,2010/11,,,,,,
(주)강원에너지,114190,2011/11,,,,,,
(주)강원에너지,114190,2012/12,,,,,,
(주)강원에너지,114190,2013/12,,,,,,
(주)강원에너지,114190,2014/12,,,,,,
(주)강원에너지,114190,2015/12,46188664,85457457,102482,102482,62927388,12847843
(주)강원에너지,114190,2016/12,42287473,77186606,-1125371,-1125371,53716336,14792058
(주)강원에너지,114190,2017/12,82034829,93179394,-6451819,-6451819,68068421,15392067
(주)강원에너지,114190,2018/12,85905365,93845576,1708887,1708887,70556730,14771745
(주)강원에너지,114190,2019/12,42549622,56602063,-35647438,-35647438,30544232,10387938
(주)갤럭시아에스엠,011420,2010/12,56624254,38135510,-4829,-4829,16138615,798105
(주)갤럭시아에스엠,011420,2011/12,47331427,45110356,2909464,2909464,24658098,746008
(주)갤럭시아에스엠,011420,2012/12,55049732,43979072,389023,389023,24752609,3386965
(주)갤럭시아에스엠,011420,2013/12,46437304,37636664,-1736750,-1736750,19899780,3092608
(주)갤럭시아에스엠,011420,2014/12,43885894,45274078,-255270,-255270,26742964,3055021
(주)갤럭시아에스엠,011420,2015/12,62472754,68686992,1863773,1863773,44426010,2905233
(주)갤럭시아에스엠,011420,2016/12,52626331,58444606,-1562620,-1562620,37929417,2588337
(주)갤럭시아에스엠,011420,2017/12,37281280,49831109,-5899738,-5899738,28750883,364072
(주)갤럭시아에스엠,011420,2018/12,22060413,33253331,-16003255,-16003255,14251248,251603
(주)갤럭시아에스엠,011420,2019/12,28732679,28241598,-1375316,-1133591,13644588,511985
(주)경농,002100,2010/12,143433922,198435169,8679619,8679619,119585755,51001511
(주)경농,002100,2011/12,121253605,173774102,509664,509664,94363834,49541176
(주)경농,002100,2012/12,136970449,269412832,10310339,10310339,142516976,93105654
(주)경농,002100,2013/12,196358952,255984725,13950249,13950248,129526582,101211463
(주)경농,002100,2014/12,188483147,284623063,7099305,7099305,139646908,118629306
(주)경농,002100,2015/12,196418710,316341853,6980392,6980392,161184139,122071383
(주)경농,002100,2016/12,203984939,320915151,6365805,6365805,156061222,133213483
(주)경농,002100,2017/12,206534382,335873898,10079442,10079442,163437464,140283689
(주)경농,002100,2018/12,212654617,357260541,4878426,4878426,169982099,142669413
(주)경농,002100,2019/12,227510941,370874091,4014664,4014664,185020093,139475078
(주)경동나비엔,009450,2010/12,307182060,238612022,7841073,7841073,118542502,94963710
(주)경동나비엔,009450,2011/12,341246917,263211016,9467023,9467023,129512842,103309756
(주)경동나비엔,009450,2012/12,379014259,299729837,9169965,9169965,145371681,120050563
(주)경동나비엔,009450,2013/12,414177562,354779867,11129597,11129597,134043087,184422743
(주)경동나비엔,009450,2014/12,428985365,401658957,9380054,9380054,159947056,190970831
(주)경동나비엔,009450,2015/12,512031120,402084368,16752000,16752000,158254944,195089500
(주)경동나비엔,009450,2016/12,583252904,429754702,37469924,37469924,175420277,203718091
(주)경동나비엔,009450,2017/12,684660958,503697210,27019124,27019124,230894567,221945791
(주)경동나비엔,009450,2018/12,726741615,583595818,24748538,24748538,287001959,248979361
(주)경동나비엔,009450,2019/12,774290704,609808343,27852090,27852090,274279157,278770581
(주)경동도시가스,267290,2017/12,871548284,710280194,17798556,17798556,376858740,316816604
(주)경동도시가스,267290,2018/12,1606531867,778269612,34164798,34164798,444232799,320713747
(주)경동도시가스,267290,2019/12,1422707835,749999474,24638348,24638348,395154174,325975219
(주)경동인베스트,012320,2010/12,1360542926,819480663,42209499,42209499,445846545,277970054
(주)경동인베스트,012320,2011/12,1847666903,1001490869,30327559,30327559,610411619,302120078
(주)경동인베스트,012320,2012/12,2502642394,1209924561,42879202,42879202,814034002,302039515
(주)경동인베스트,012320,2013/12,2788264380,1205008353,49841905,49841905,778164231,322577481
(주)경동인베스트,012320,2014/12,2603059058,1320789066,75930406,75930406,766552554,436240540
(주)경동인베스트,012320,2015/12,1604168482,1167819522,-21251390,-21251390,571798491,478535233
(주)경동인베스트,012320,2016/12,1181902637,1126122628,19132415,15258620,508994824,490371394
(주)경동인베스트,012320,2017/12,195069859,599276331,51930860,42162770,238339688,177264156
(주)경동인베스트,012320,2018/12,228644016,592002536,29827973,29827973,188460289,176391871
(주)경동인베스트,012320,2019/12,271765025,605467383,8856009,8856009,236475693,170491064
(주)경방,000050,2010/12,339355972,1328917440,20060632,20060632,113238016,299311662
(주)경방,000050,2011/12,348136369,1352324332,-1131177,-1131177,138673371,308454057
(주)경방,000050,2012/12,333620804,1335039930,-7910168,-7910168,123685731,324064120
(주)경방,000050,2013/12,347189559,1296989142,14574395,14574395,103410904,306515477
(주)경방,000050,2014/12,329036023,1301841379,11488471,11488471,101229398,307855729
(주)경방,000050,2015/12,357628146,1318643312,16692163,16692163,108093423,325770660
