회사명,거래소코드,회계년도,재고자산(*)(IFRS),매입채무(IFRS),영업활동으로 인한 현금흐름(간접법)(*)(IFRS),매출액(수익)(*)(IFRS),이자비용(IFRS),유형자산(*)(IFRS),자본(*)(IFRS),당기순이익(손실)(IFRS),연구개발비(IFRS)
(주)CMG제약,058820,2011/12,2743103,1481481,-2488268,17751704,181404,9652599,18290915,-1264488,23703
(주)CMG제약,058820,2012/12,2955172,2670886,-1453276,16255389,542880,9264142,31602540,-6892739,120052
(주)CMG제약,058820,2013/12,4618718,3911851,-3891420,20322140,1133753,10805092,49048213,335258,134454
(주)CMG제약,058820,2014/12,4913103,4719504,730447,22752584,122840,18833775,49067039,171502,116533
(주)CMG제약,058820,2015/12,5455617,4844096,2411254,27041894,79830,17822468,46872705,-3648668,831910
(주)CMG제약,058820,2016/12,6393756,5688806,3321352,32969825,0,16905814,101107635,1693463,397519
(주)CMG제약,058820,2017/12,7904518,7002289,1948086,41535588,0,16182518,97944019,2834901,1795891
(주)CMG제약,058820,2018/12,8572582,4162722,886779,49864782,0,17268535,103981846,6065026,777797
(주)CMG제약,058820,2019/12,9048933,4328437,2823387,58622681,8593,24119403,180158283,3051177,1993412
(주)DB하이텍,000990,2011/12,77112663,22998829,61642286,534317238,57547000,758179817,291709498,-93084414,60572750
(주)DB하이텍,000990,2012/12,79262392,23484407,68047966,583901597,50196743,684941380,274553219,-32121504,51365000
(주)DB하이텍,000990,2013/12,72377687,29426433,28528798,493752028,59545366,635765049,197287466,-73243309,44409000
(주)DB하이텍,000990,2014/12,69179569,35936430,47362460,567718224,67651856,591653498,136104062,-58319918,41769000
(주)DB하이텍,000990,2015/12,83459568,42409042,150510354,666594987,50040000,533113708,277662952,127469869,49406000
(주)DB하이텍,000990,2016/12,76344778,41718640,247018873,773140180,39113564,547687840,364450453,88002359,53738000
(주)DB하이텍,000990,2017/12,75018890,31644708,182244045,679737744,23682439,555556192,441546809,74401732,54428000
(주)DB하이텍,000990,2018/12,42891649,36347680,182780278,669279136,16701486,597563521,542557222,95087399,52810000
(주)DB하이텍,000990,2019/12,51837841,30336721,160796839,807416423,13490314,616562743,645305205,121159865,55296000
(주)ES큐브,050120,2011/12,383848,2385776,1625293,41700477,14570,1407274,39144414,-2933429,2481560
(주)ES큐브,050120,2012/12,410944,1624298,4618957,44178050,32239,1395951,39881477,516857,1355428
(주)ES큐브,050120,2013/12,426328,1329946,4508559,45823196,22822,914811,43712820,-14749080,2358093
(주)ES큐브,050120,2014/12,264950,2309135,2934159,37188072,0,640405,41226335,-2412385,878870
(주)ES큐브,050120,2015/12,397788,1126410,3265832,36887119,0,596347,44872641,3610344,0
(주)ES큐브,050120,2016/12,420745,2932249,3735385,34818205,203736,4673186,69832373,17469014,0
(주)ES큐브,050120,2017/12,408271,2416818,3989913,37104908,785009,7506218,71398467,1218923,0
(주)ES큐브,050120,2018/12,560371,2520376,116879,31308873,1482191,10880733,66518631,-3836071,0
(주)ES큐브,050120,2019/12,468610,4247225,1886276,28527284,3540387,10576512,53986331,-12738710,0
(주)HJ중공업,097230,2011/12,183693000,196118000,-297988000,2316017000,172549000,1427510000,1874877000,-116272000,1475000
(주)HJ중공업,097230,2012/12,163272000,218263000,-227250000,1980761000,168022000,1343556000,1863529000,13082000,2287000
(주)HJ중공업,097230,2013/12,489464000,229429000,-186309000,1927307000,151803000,1329680000,1804609000,-212716000,3371000
(주)HJ중공업,097230,2014/12,459613000,385389000,-101009000,1799016000,136071000,1263266000,1761886000,-225739000,3455000
(주)HJ중공업,097230,2015/12,721779000,343319000,109406000,2041347000,130127000,1223488000,1377529000,-260118000,3055000
(주)HJ중공업,097230,2016/12,518530000,186629000,78719000,1928591000,122397000,1036188000,904150000,-334429000,2144000
(주)HJ중공업,097230,2017/12,655299000,208153000,368798000,1737428000,97781000,653140000,563410000,-299028000,1854000
(주)HJ중공업,097230,2018/12,519388000,197641000,182116000,1750954000,99651000,636673000,-398930000,-963474000,2209000
(주)HJ중공업,097230,2019/12,363759000,166779000,140634000,1609530000,120720000,613082000,247272000,-73654000,1734000
(주)MH에탄올,023150,2011/12,4542443,0,4202371,43206995,4593208,35172601,56161251,3351943,0
(주)MH에탄올,023150,2012/12,5306016,0,2788992,45488675,3983343,34423174,58712944,2571700,0
(주)MH에탄올,023150,2013/12,6094594,0,5638467,46298516,2808886,34123721,47119925,-11627211,0
(주)MH에탄올,023150,2014/12,6986598,0,5125822,48983781,1555697,36083178,52507884,4618332,0
(주)MH에탄올,023150,2015/12,3603074,0,13354086,50386203,873794,36846498,57569789,7744832,0
(주)MH에탄올,023150,2016/12,5538540,0,12230065,48897025,403741,37390792,63257513,8134873,0
(주)MH에탄올,023150,2017/12,5502545,0,10755779,48270464,313976,39418503,64698932,5903108,0
(주)MH에탄올,023150,2018/12,6430326,0,6668746,46943080,1033740,40585694,68471529,6553371,0
(주)MH에탄올,023150,2019/12,8081383,0,6417691,46992295,1031751,41121323,59477642,-5004935,0
(주)SH에너지화학,002360,2011/12,11114123,940479,6995359,172752632,1424281,33115306,64498684,3164441,42624
(주)SH에너지화학,002360,2012/12,14210523,2206403,363577,191907628,1270453,32608108,64888612,1079738,57537
(주)SH에너지화학,002360,2013/12,11944305,2593275,7500585,229783541,1211308,31944570,69781889,4841817,64707
(주)SH에너지화학,002360,2014/12,13898172,2190170,24219262,226971465,797274,31070401,83404299,15569914,117783
(주)SH에너지화학,002360,2015/12,11416122,1087816,24557427,213882181,269400,32654731,90740136,12639344,0
(주)SH에너지화학,002360,2016/12,10801243,1483508,11581159,214380015,112668,31792327,103083032,17574101,161234
(주)SH에너지화학,002360,2017/12,18561488,1657856,16292838,184672638,84964,30956708,105717970,8905104,82098
(주)SH에너지화학,002360,2018/12,20857092,956145,4284684,180753289,91287,29913044,104065473,2766802,96821
(주)SH에너지화학,002360,2019/12,15888341,1003854,14508726,138161816,129835,33126165,97386214,-3151629,100899
(주)SIMPAC,009160,2011/12,26353233,37851191,18174973,213867522,1306820,62702218,155833324,21196377,0
(주)SIMPAC,009160,2012/12,25281451,37650525,12986618,223854758,1623737,64182764,177830482,22517068,0
(주)SIMPAC,009160,2013/12,25606746,38556438,11709355,204527751,1423590,64271295,197900866,19196136,0
(주)SIMPAC,009160,2014/12,31897827,39369978,29061253,227491803,2022728,70604838,203904919,10218575,0
(주)SIMPAC,009160,2015/12,48860928,44285429,10489830,213152303,1006031,75847152,220087525,19448583,0
(주)SIMPAC,009160,2016/12,41542910,41037295,30470575,215839356,1023886,75130388,228959172,16444650,0
(주)SIMPAC,009160,2017/12,34297232,25003174,-13628628,203150228,915110,70402759,223781988,7133940,0
