회사명,거래소코드,회계년도,재고자산(*)(IFRS연결),매입채무(IFRS연결),영업활동으로 인한 현금흐름(간접법)(*)(IFRS연결),매출액(수익)(*)(IFRS연결),이자비용(IFRS연결),유형자산(*)(IFRS연결),자본(*)(IFRS연결),당기순이익(손실)(IFRS연결),연구개발비(IFRS연결)
(주)CMG제약,058820,2011/12,2743103,1481481,-2560438,17751704,181404,9707759,18034249,-1508282,23703
(주)CMG제약,058820,2012/12,2955172,2670886,-1572581,16255389,542880,9307482,31590685,-6660149,120052
(주)CMG제약,058820,2013/12,4618718,3911851,-3939013,20402140,1134104,10805092,48997281,296181,134454
(주)CMG제약,058820,2014/12,4913103,4719504,724893,22752584,122840,18833775,49002644,158039,116533
(주)CMG제약,058820,2015/12,5455617,4844096,2410205,27041894,79830,17822468,46806888,-3650091,831910
(주)CMG제약,058820,2016/12,6393756,5688806,3321352,32969825,0,16905814,101107635,1727895,397519
(주)CMG제약,058820,2017/12,7904518,7002289,1948086,41535588,0,16182518,97944019,2834901,1795891
(주)CMG제약,058820,2018/12,8572582,4162722,886779,49864782,0,17268535,103981846,6065026,777797
(주)CMG제약,058820,2019/12,9048933,4328437,2823387,58622681,8593,24119403,180158283,3051177,1993412
(주)DB하이텍,000990,2011/12,77112663,23196334,60749180,552216245,57547249,758902417,308061688,-97946584,60572750
(주)DB하이텍,000990,2012/12,79262392,17740927,73876619,590786488,50196743,685389046,290893335,-31341318,0
(주)DB하이텍,000990,2013/12,72377687,29717748,28380938,493752028,59545366,636040366,204756748,-83046768,44409000
(주)DB하이텍,000990,2014/12,69179569,36235325,48078139,567718224,67650856,591787281,120702734,-77008844,41769000
(주)DB하이텍,000990,2015/12,83459568,44271640,152722221,666594987,50040000,533140340,254057491,126733352,49406000
(주)DB하이텍,000990,2016/12,76344778,44199479,248312191,773140180,39113564,547700934,341917315,88344018,53738000
(주)DB하이텍,000990,2017/12,75018890,33883223,183124083,679737744,23682439,555566835,455797946,110175089,54428000
(주)DB하이텍,000990,2018/12,42891649,36469258,180343534,669279136,16701486,597570491,558391531,86828768,52810000
